case_id,passthrough_dice,refined_dice,delta,tiles_refined,tiles_total
test_271,0.8875530410176029,0.8883212964586151,0.0007682554410122222,16,49
test_238,0.7699333967642531,0.6846122281488021,-0.08532116861545103,23,49
test_173,0.7885674589387245,0.7531672802023458,-0.035400178736378685,23,49
test_184,0.8850376749187917,0.8647150144151338,-0.02032266050365794,27,49
test_56,0.6819369341997193,0.6096820578363904,-0.07225487636332895,28,49
