case_id,passthrough_dice,refined_dice,delta
test_271,0.8875530410176029,0.7511161558828974,-0.13643688513470553
test_238,0.7699333967642531,0.6820627431498368,-0.08787065361441626
test_173,0.7885674589387245,0.6779375968131542,-0.11062986212557024
test_184,0.8850376749187917,0.7759743512670193,-0.1090633236517724
test_56,0.6819369341997193,0.6363832309512683,-0.045553703248451094
