case_id,passthrough_dice,iter1_dice,iter1_n_candidates,iter2_dice,iter2_n_candidates,iter3_dice,iter3_n_candidates
test_271,0.8875530410176029,0.8854548629292077,4,0.8484132343004317,6,0.784623407583413,12
test_238,0.7699333967642531,0.7405405405398733,15,0.7287516600259555,12,0.6513311712793941,16
test_173,0.7885674589387245,0.8017634238157312,6,0.7864310538935892,6,0.7486395058093108,14
test_184,0.8850376749187917,0.8796350952504,2,0.8502799727872467,2,0.832262375982711,4
test_56,0.6819369341997193,0.6965787351683581,18,0.6398157625380554,24,0.5632786569817868,40
