id,name,track,channels,bottlenecks,decoder_type,params,params_m,final_dice,best_dice,momentum,acceleration,num_dice_epochs,mean_epoch_time_s,duration_s,returncode,hypothesis,pseudo_dice_by_epoch,results_root
MU05,mu_stem_flank,max_unpool,"28,112,128,128,112,28","4,8,8,2,1",max_unpool,455510,0.45551,0.8027,0.8051,0.01859999999999995,-0.011885714285714295,15,27.618,,0,max_unpool track: bump stem+flank by 1.75x vs Original.,0.682300;0.709600;0.757400;0.759100;0.762300;0.782200;0.781200;0.784100;0.785400;0.783900;0.791800;0.797300;0.798600;0.805100;0.802700,/workspace/LightM-UNet/upscale/results/pareto_e15/MU05_mu_stem_flank
MU06,mu_stem_f2,max_unpool,"28,64,224,128,64,28","4,8,8,2,1",max_unpool,730254,0.730254,0.8069,0.8069,0.025499999999999967,-0.011699999999999995,15,25.468,,0,max_unpool track: bump stem+f2 by 1.75x vs Original.,0.674000;0.745700;0.737900;0.757800;0.767700;0.755800;0.768700;0.781400;0.786100;0.786100;0.783700;0.798900;0.794400;0.797500;0.806900,/workspace/LightM-UNet/upscale/results/pareto_e15/MU06_mu_stem_f2
MU07,mu_stem_f3,max_unpool,"28,64,128,224,64,28","4,8,8,2,1",max_unpool,721182,0.721182,0.8024,0.8024,0.025700000000000056,-0.01754285714285713,15,25.682,,0,max_unpool track: bump stem+f3 by 1.75x vs Original.,0.628200;0.713200;0.699600;0.748900;0.755200;0.781100;0.780100;0.776700;0.778300;0.783900;0.791500;0.798200;0.798600;0.802000;0.802400,/workspace/LightM-UNet/upscale/results/pareto_e15/MU07_mu_stem_f3
MU08,mu_flank_f2,max_unpool,"16,112,224,128,112,16","4,8,8,2,1",max_unpool,814353,0.814353,0.7966,0.8066,0.012399999999999967,-0.011642857142857146,15,28.545999999999996,,0,max_unpool track: bump flank+f2 by 1.75x vs Original.,0.690300;0.681200;0.732500;0.751500;0.768600;0.764900;0.784400;0.784200;0.773800;0.787200;0.792900;0.795300;0.801500;0.806600;0.796600,/workspace/LightM-UNet/upscale/results/pareto_e15/MU08_mu_flank_f2
MU09,mu_flank_f3,max_unpool,"16,112,128,224,112,16","4,8,8,2,1",max_unpool,806433,0.806433,0.8035,0.8035,0.03839999999999999,-0.012157142857142866,15,28.71333333333333,,0,max_unpool track: bump flank+f3 by 1.75x vs Original.,0.641600;0.727600;0.706400;0.760000;0.768600;0.760300;0.762600;0.765100;0.782800;0.770100;0.792900;0.791800;0.799300;0.797700;0.803500,/workspace/LightM-UNet/upscale/results/pareto_e15/MU09_mu_flank_f3
MU10,mu_f2_f3,max_unpool,"16,64,224,224,64,16","4,8,8,2,1",max_unpool,1018313,1.018313,0.802,0.802,0.022800000000000042,-0.011114285714285712,15,25.961999999999996,,0,max_unpool track: bump f2+f3 by 1.75x vs Original.,0.678600;0.714500;0.748600;0.752500;0.760900;0.764300;0.758900;0.779200;0.788800;0.793800;0.786600;0.794700;0.798700;0.794100;0.802000,/workspace/LightM-UNet/upscale/results/pareto_e15/MU10_mu_f2_f3
MU11,mu_stem_flank_f2,max_unpool,"28,112,224,128,112,28","4,8,8,2,1",max_unpool,818262,0.818262,0.8121,0.8121,0.02729999999999999,-0.015485714285714292,15,29.985999999999997,,0,max_unpool track: bump stem+flank+f2 by 1.75x vs Original.,0.649100;0.723400;0.749700;0.764800;0.761100;0.767600;0.780500;0.784800;0.803300;0.781300;0.791300;0.789000;0.790900;0.802800;0.812100,/workspace/LightM-UNet/upscale/results/pareto_e15/MU11_mu_stem_flank_f2
MU12,mu_stem_flank_f3,max_unpool,"28,112,128,224,112,28","4,8,8,2,1",max_unpool,810342,0.810342,0.8038,0.8038,0.03059999999999996,-0.01681428571428572,15,29.84866666666666,,0,max_unpool track: bump stem+flank+f3 by 1.75x vs Original.,0.624900;0.719000;0.735600;0.739300;0.766800;0.775600;0.767500;0.773200;0.783200;0.787700;0.797400;0.794000;0.798200;0.790500;0.803800,/workspace/LightM-UNet/upscale/results/pareto_e15/MU12_mu_stem_flank_f3
MU13,mu_stem_f2_f3,max_unpool,"28,64,224,224,64,28","4,8,8,2,1",max_unpool,1020926,1.020926,0.804,0.804,0.019100000000000006,-0.017371428571428576,15,27.39466666666666,,0,max_unpool track: bump stem+f2+f3 by 1.75x vs Original.,0.644200;0.714300;0.729500;0.747300;0.763000;0.785100;0.781800;0.784900;0.782600;0.789700;0.802900;0.798400;0.801500;0.801900;0.804000,/workspace/LightM-UNet/upscale/results/pareto_e15/MU13_mu_stem_f2_f3
MU14,mu_flank_f2_f3,max_unpool,"16,112,224,224,112,16","4,8,8,2,1",max_unpool,1110785,1.110785,0.8103,0.8151,0.023700000000000054,-0.009114285714285693,15,30.302000000000007,,0,max_unpool track: bump flank+f2+f3 by 1.75x vs Original.,0.699100;0.716800;0.739400;0.772500;0.768200;0.763400;0.773800;0.786600;0.789700;0.793100;0.807400;0.797800;0.806400;0.815100;0.810300,/workspace/LightM-UNet/upscale/results/pareto_e15/MU14_mu_flank_f2_f3
