partition,node_name,op_type,depth,ram_style,dataType,folded_shape,elems_per_beat,size_elems,bitwidth,size_bits,size_bytes
4,StreamingFIFO_rtl_60,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 8, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_61,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 2, 4]",4,8,8,64,8.0
4,StreamingFIFO_rtl_62,StreamingFIFO_rtl,2,auto,INT20,"[1, 8, 8, 4, 8]",8,16,20,320,40.0
4,StreamingFIFO_rtl_63,StreamingFIFO_rtl,2,auto,INT20,"[1, 8, 8, 8, 4]",4,8,20,160,20.0
4,StreamingFIFO_rtl_64,StreamingFIFO_rtl,32,auto,INT8,"[1, 8, 8, 8, 4]",4,128,8,1024,128.0
4,StreamingFIFO_rtl_65,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_66,StreamingFIFO_rtl,2,auto,INT9,"[1, 8, 8, 32, 1]",1,2,9,18,2.25
4,StreamingFIFO_rtl_67,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_68,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_69,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_70,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_71,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 4, 8]",8,16,8,128,16.0
4,StreamingFIFO_rtl_72,StreamingFIFO_rtl,645,auto,INT8,"[1, 8, 8, 32, 1]",1,645,8,5160,645.0
4,StreamingFIFO_rtl_73,StreamingFIFO_rtl,2,auto,INT19,"[1, 8, 8, 2, 4]",4,8,19,152,19.0
4,StreamingFIFO_rtl_74,StreamingFIFO_rtl,2,auto,INT19,"[1, 8, 8, 8, 1]",1,2,19,38,4.75
4,StreamingFIFO_rtl_75,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 8, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_76,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 1, 8]",8,16,8,128,16.0
4,StreamingFIFO_rtl_77,StreamingFIFO_rtl,46,auto,UINT8,"[1, 12, 12, 1, 8]",8,368,8,2944,368.0
4,StreamingFIFO_rtl_78,StreamingFIFO_rtl,328,auto,UINT8,"[1, 12, 12, 8, 1]",1,328,8,2624,328.0
4,StreamingFIFO_rtl_79,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 72, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_80,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 4, 18]",18,36,8,288,36.0
4,StreamingFIFO_rtl_81,StreamingFIFO_rtl,2,auto,INT20,"[1, 8, 8, 4, 2]",2,4,20,80,10.0
4,StreamingFIFO_rtl_82,StreamingFIFO_rtl,2,auto,INT20,"[1, 8, 8, 8, 1]",1,2,20,40,5.0
4,StreamingFIFO_rtl_83,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 8, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_84,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 1, 8]",8,16,8,128,16.0
4,StreamingFIFO_rtl_85,StreamingFIFO_rtl,2,auto,INT16,"[1, 8, 8, 8, 4]",4,8,16,128,16.0
4,StreamingFIFO_rtl_86,StreamingFIFO_rtl,32,auto,INT8,"[1, 8, 8, 8, 4]",4,128,8,1024,128.0
4,StreamingFIFO_rtl_87,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_88,StreamingFIFO_rtl,2,auto,INT9,"[1, 8, 8, 32, 1]",1,2,9,18,2.25
4,StreamingFIFO_rtl_89,StreamingFIFO_rtl,2,auto,INT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
4,StreamingFIFO_rtl_90,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_0,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_1,StreamingFIFO_rtl,779,auto,UINT8,"[1, 8, 8, 32, 1]",1,779,8,6232,779.0
5,StreamingFIFO_rtl_2,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 32, 1]",1,2,8,16,2.0
5,StreamingFIFO_rtl_3,StreamingFIFO_rtl,2,auto,UINT8,"[1, 8, 8, 8, 4]",4,8,8,64,8.0
5,StreamingFIFO_rtl_4,StreamingFIFO_rtl,2048,auto,INT8,"[1, 8, 8, 32, 1]",1,2048,8,16384,2048.0
5,StreamingFIFO_rtl_5,StreamingFIFO_rtl,2,auto,INT19,"[1, 8, 8, 1, 8]",8,16,19,304,38.0
