view,dice_f1,precision,recall_sensitivity,accuracy
confidence blend,0.5831421757311832,0.5998892079017223,0.590854610746157,0.9728089112501507
OR (6x6 | 5x5),0.568842779429755,0.51725780589254,0.6621191786820666,0.9678849807152011
6x6 only,0.5551769474840362,0.5811726619415386,0.5537803102291382,0.9712398969209741
5x5 only,0.5539305547309005,0.5617759841256811,0.5722346031642537,0.97060900468089
