id,name,channels,edge_channels,params,params_m,final_dice,best_dice,momentum,acceleration,num_dice_epochs,mean_epoch_time_s,duration_s,returncode,hypothesis,pseudo_dice_by_epoch,log_file,results_root
B0,baseline,"12,20,32,44,64,72",20,525706,0.525706,0.6168999999999999,0.6168999999999999,0.12873333333333326,-0.023223333333333332,10,109.53,1122.11182515393,0,baseline reference from the first Pareto sweep,0.211133;0.283533;0.383533;0.464633;0.483367;0.488167;0.588333;0.605400;0.565567;0.616900,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/B0_baseline/fold_0/training_log_2026_6_7_16_54_39.txt,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/B0_baseline
M0,middle_original,"16,32,56,56,72,72",20,740218,0.740218,0.6361666666666667,0.6361666666666667,0.057633333333333314,-0.054031666666666686,10,106.922,1091.3955325640272,0,winning middle-capacity pattern with equal stage3-to-stage4 width,0.236333;0.318667;0.441500;0.448367;0.558667;0.578533;0.576133;0.586100;0.634133;0.636167,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/M0_middle_original/fold_0/training_log_2026_6_7_17_13_18.txt,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/M0_middle_original
H1,pre_mamba_wide_only,"16,32,56,44,72,72",20,685690,0.68569,0.5879333333333333,0.6061,0.07066666666666666,-0.04248666666666666,10,106.676,1089.1255616629496,0,tests whether widening the last conv stage alone explains the M0 gain,0.216500;0.327967;0.372400;0.402433;0.487933;0.517267;0.578533;0.560333;0.606100;0.587933,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/H1_pre_mamba_wide_only/fold_0/training_log_2026_6_7_17_31_30.txt,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/H1_pre_mamba_wide_only
H2,mamba_entry_wide_only,"16,32,44,56,72,72",20,696730,0.69673,0.6109666666666667,0.6462333333333333,0.08283333333333331,-0.033218333333333336,10,106.46000000000001,1086.8805302659748,0,tests whether widening the first PV-Mamba stage alone explains the M0 gain,0.258500;0.372833;0.424833;0.472600;0.533933;0.528133;0.485433;0.638900;0.646233;0.610967,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/H2_mamba_entry_wide_only/fold_0/training_log_2026_6_7_17_49_40.txt,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/H2_mamba_entry_wide_only
H3,smooth_handoff_52,"16,32,52,52,72,72",20,706314,0.706314,0.6347666666666667,0.6347666666666667,0.10780000000000012,-0.031816666666666625,10,106.78999999999999,1089.9611155330203,0,tests whether a smoother equal-width conv-to-Mamba handoff still helps at lower width,0.233133;0.287333;0.325033;0.391400;0.461133;0.526967;0.504333;0.561367;0.613033;0.634767,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/H3_smooth_handoff_52/fold_0/training_log_2026_6_7_18_07_47.txt,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/H3_smooth_handoff_52
DS0,downscaled_smooth_handoff,"12,24,40,40,56,56",20,442166,0.442166,0.6120333333333333,0.6120333333333333,0.04176666666666673,-0.04619166666666663,10,111.30400000000002,1135.0614236420952,0,downscaled version of the smooth handoff pattern starting at 12 channels,0.287100;0.346433;0.350767;0.485067;0.579533;0.570267;0.560500;0.600167;0.610100;0.612033,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/DS0_downscaled_smooth_handoff/fold_0/training_log_2026_6_7_18_25_58.txt,/home/yhussein/LightM-UNet/data/nnUNET_results_pareto/lmunet_handoff_bs4_e10/DS0_downscaled_smooth_handoff
