id,name,channels,params,params_m,param_increase_pct,final_dice,best_dice,momentum,acceleration,num_dice_epochs,mean_epoch_time_s,duration_s,returncode,hypothesis,pseudo_dice_by_epoch,log_file,results_root
EU0,baseline,"20,72,72,144,256,144,72,20",926070,0.92607,0.0,0.0037,0.0037,,,1,71.16,270.98706304701045,0,"ENetUpscaled reference: all five changes, original-width channels",0.003700,,/workspace/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e25/EU0_baseline
EU1,narrow,"16,56,56,112,192,112,56,16",546619,0.546619,-40.97433239387951,0.0070999999999999995,0.0070999999999999995,,,1,71.75,150.1041087290505,0,Narrow budget — test whether architecture improvement beats width,0.007100,,/workspace/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e25/EU1_narrow
EU2,wide_context,"20,72,128,192,256,192,72,20",1348086,1.348086,45.57063720885031,0.017099999999999997,0.017099999999999997,,,1,79.85,192.9016874260269,0,Wider stage-2 flat + stage-3 context at H/4 and H/8,0.017100,,/workspace/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e25/EU2_wide_context
EU3,deep_stage4,"20,72,72,144,320,196,72,20",1228180,1.22818,32.622803891714454,0.0113,0.0113,,,1,56.92,156.4498416580027,0,Extra capacity at the new H/16 stage and its decoder mirror,0.011300,,/workspace/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e25/EU3_deep_stage4
EU4,decoder_wide,"20,72,72,144,256,196,96,24",1012459,1.012459,9.328560475989933,0.0,0.0,,,1,33.75,140.25280987494625,0,Wider decoder path for finer boundary reconstruction,0.000000,,/workspace/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e25/EU4_decoder_wide
EU5,stage3_stage4_heavy,"20,72,72,196,288,196,96,20",1387823,1.387823,49.86156554040191,0.0154,0.0154,,,1,32.78,153.78300226200372,0,Deep encoder emphasis: extra capacity in stage-3 and stage-4,0.015400,,/workspace/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e25/EU5_stage3_stage4_heavy
EU6,fully_scaled,"24,96,96,192,256,192,96,24",1309559,1.309559,41.41036854665414,0.0,0.0,,,1,58.46,144.85325198201463,0,Uniformly wider network — global capacity increase,0.000000,,/workspace/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e25/EU6_fully_scaled
EU7,highres_flat,"24,96,144,144,256,144,96,24",1126331,1.126331,21.624823177513576,0.007533333333333333,0.007533333333333333,,,1,80.1,169.49887387896888,0,Wide flat H/4 stage (ch2=144) preserves high-resolution detail for thin vessel segmentation before downsampling,0.007533,,/workspace/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e25/EU7_highres_flat
EU8,narrow_deep,"16,48,48,192,288,192,48,16",1280355,1.280355,38.256827237681826,0.0162,0.0162,,,1,22.52,109.80636706994846,0,"Narrow early stages, heavy bottleneck — concentrate capacity where long-range context discriminates vessel classes",0.016200,,/workspace/LightM-UNet/data/nnUNET_results_pareto/enet_upscaled_e25/EU8_narrow_deep
