case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_83,LAD_LCX,7341,0,0.0,11,1.0,1.0,0,0.0,2,11,1,5.5,25,0,0,,False
test_84,LAD_LCX,7104,0,0.0,10,1.0,1.0,0,0.0,1,10,1,10.0,22,0,0,,False
test_85,LAD_LCX,6211,0,0.0,11,1.0,1.0,0,0.0,1,11,1,11.0,23,0,0,,False
test_86,RCA,10252,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,0,0,0,,False
test_87,LAD_LCX,3484,0,0.0,14,1.0,1.0,0,0.0,1,14,2,14.0,26,0,0,,False
test_88,LAD_LCX,3464,0,0.0,6,0.9535850363699342,0.7678983833718245,1,0.8334295612009238,1,6,0,6.0,16,14,12,0.8571428571428571,False
test_89,LAD_LCX,5121,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,19,0,0,,False
test_9,RCA,10629,0,0.0,6,1.0,1.0,0,0.0,1,6,2,6.0,0,0,0,,False
test_90,LAD_LCX,8944,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,20,0,0,,False
test_91,RCA,6019,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,0,0,0,,False
test_92,LAD_LCX,5135,0,0.0,6,1.0,1.0,0,0.0,2,6,0,3.0,12,0,0,,False
test_93,RCA,6663,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_94,LAD_LCX,4127,0,0.0,10,1.0,1.0,0,0.0,1,10,2,10.0,22,0,0,,False
test_95,LAD_LCX,7395,0,0.0,6,1.0,1.0,0,0.0,2,6,0,3.0,13,0,0,,False
test_96,RCA,5541,0,0.0,5,1.0,1.0,0,0.0,1,5,0,5.0,0,0,0,,False
test_97,LAD_LCX,6616,0,0.0,9,1.0,1.0,0,0.0,2,9,1,4.5,17,0,0,,False
test_98,RCA,6268,0,0.0,6,1.0,1.0,0,0.0,1,6,0,6.0,0,0,0,,False
test_99,RCA,7929,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
