class_id,class_name,tp,fp,fn,dice_f1,precision,recall_sensitivity,cldice
0,Background,75689552,763357,364828,0.9926024191538806,0.9900153308751141,0.9952030639129527,
1,LAD,526922,177418,300922,0.6878051200116913,0.7481074481074375,0.6364991471823117,0.7017248952382333
2,RCA,740690,104605,181698,0.838034873899897,0.8762503031485945,0.8030134823956859,0.8364969370669794
3,LCX,520507,120149,318081,0.703747319576752,0.8124594165979744,0.6206945484552531,0.6993661358158985
