case_id,dice_f1,precision,recall_sensitivity,boundary_f1
test_100,0.6245826698851381,0.6267395113899322,0.6224406224399852,0.5846741478235877
test_101,0.943815424054017,0.9417365354541115,0.945903511274699,0.9711073916203109
test_102,0.7615010982889083,0.8629829605210974,0.681375262982681,0.7436602629990331
test_103,0.22150431912337837,0.28877494964239375,0.17965367965347498,0.2281880082051047
test_104,0.8570806811376654,0.9166763644816517,0.8047609317523449,0.8630398450341206
test_105,0.6065630740204505,0.6301836187325869,0.5846492487313765,0.5670826731772951
test_106,0.730610332637365,0.8903768296471604,0.6194568828538065,0.6882809029349624
test_107,0.5312969454174621,0.8678936605281478,0.38282518491722384,0.42123220419611307
test_108,0.7292669278111591,0.8161322645270137,0.6591138984409082,0.7600281325596768
test_109,0.7963536004007724,0.8392384981476481,0.757638446847935,0.7812313064376473
test_10,0.8459756306843804,0.8885183850028041,0.8073206681945567,0.8672213614341809
test_110,0.7326328079387532,0.8587068080724278,0.638839399337441,0.7598532942960715
test_111,0.49753628978492803,0.6671428571404745,0.3966871947326467,0.5588659405740163
test_112,0.7660543927091228,0.9555950266412867,0.6392585551323202,0.6802110816826838
test_113,0.7020499440919105,0.8033094506980496,0.6234608764720992,0.7448305719469226
test_114,0.7691793786879138,0.7949367088598447,0.7450388265738297,0.7593353731737182
test_115,0.6320385699985154,0.6988533494252689,0.5768847558940935,0.7014485911198036
test_116,0.47247962487387235,0.6841254445500029,0.36084583901712,0.4221926736303319
test_117,0.631752237884231,0.5875035881728183,0.6832090797811469,0.6625651353647548
test_118,0.6902575587898204,0.6157842157829855,0.7852229299343052,0.6880564086358028
test_119,0.8351355847605763,0.8524367464750341,0.8185227458000677,0.7753421182604814
test_11,0.5824629022930883,0.5317007951583057,0.6439406851877928,0.5512601170818403
test_120,0.4610967556699578,0.5209775086493924,0.4135622317589467,0.48704336181379787
test_121,0.7896114924628196,0.8559374041103776,0.732825430184247,0.7796531558461283
test_122,0.7016688543020783,0.9734651404736032,0.5485194957474391,0.7731344983807128
test_123,0.5924565270627082,0.6864358683294937,0.5211115898308464,0.6537905537245412
test_124,0.6756546538757191,0.7898884578069957,0.590287215728377,0.665132844404118
test_125,0.7722931537139114,0.7660550458700318,0.7786336914640611,0.7868246327268156
test_126,0.762629524584886,0.8641888881812103,0.6824303950142313,0.6401333171795387
test_127,0.8094290709586969,0.9236378646107269,0.7203562614006649,0.8082298989995322
test_128,0.4876494023901144,0.36410510659359036,0.738090452259823,0.5690521002255783
test_129,0.68375640865239,0.7010256410238436,0.6673175494247808,0.7296272721765387
test_12,0.5635829662253105,0.6930299747176127,0.47488245483673625,0.6083872235040495
test_130,0.8308698222791253,0.9151152991642418,0.7608280254772224,0.8123536899049573
test_131,0.8376817644188146,0.7802981205433827,0.9041754280551154,0.8481449205084656
test_132,0.6342277399541888,0.771141048529831,0.5386010656382059,0.6177267028756704
test_133,0.7700245454086209,0.7767559373413069,0.7634088200230796,0.7142230352301273
test_134,0.7535164979619078,0.8700667880982543,0.6645026663567534,0.6851829823729533
test_135,0.5491028020856102,0.753700558115133,0.43186874304723044,0.6000791573006691
test_136,0.6727255148403047,0.8868213102195085,0.5419003115256357,0.6695604965844282
test_137,0.7199172805994055,0.676408678755929,0.7694078644435312,0.7371797517757703
test_138,0.7742213786551857,0.8712621359206384,0.6966309579247064,0.8104129546656933
test_139,0.8808789818979678,0.8391566265047603,0.9269672267494145,0.8769643868771674
test_13,0.6811632729009085,0.6520101781163846,0.7130454140686631,0.5010221530820251
test_140,0.57764705882268,0.7524904214530557,0.4687350835311009,0.6251627252264462
test_141,0.7785905027279817,0.6992700729919715,0.8782084861172366,0.7898406600594823
test_142,0.36751702408744025,0.851224105457386,0.23434867141900928,0.35500045251229545
test_143,0.45312108297790604,0.9860883797027112,0.2941415785188819,0.4786240700623373
test_144,0.641540352314187,0.9830508474555701,0.47613256308860225,0.6955569121443723
test_145,0.6667543744239792,0.7971060081774188,0.5730438715506863,0.7477826925643173
test_146,0.05510331872248987,0.031102733270426244,0.24131627056231597,0.07534956662981179
test_147,0.5451193658399184,0.6984764379346894,0.4469805759198496,0.5499754404315612
test_148,0.6367255777817844,0.6324266975302542,0.6410833007424315,0.6611883042783668
test_149,0.7298544550936399,0.9109437306145164,0.6088244003547439,0.7780292119580392
test_14,0.6777437691294411,0.6913470115959076,0.6646655231552748,0.5654472810688106
test_150,0.85731629921888,0.9152772049720642,0.8062590824160233,0.7555496722236815
test_151,0.7937230669156867,0.8752017213547828,0.7261231776251664,0.7769591093687179
test_152,0.6231022069176528,0.5198485244182295,0.7775390624984814,0.6410357123179028
test_153,0.6409984501177576,0.7159256559753718,0.5802687933826906,0.5444855065304638
test_154,0.91699404384684,0.9531085352990607,0.8835164835154048,0.9609731086174791
test_155,0.6433333333329044,0.6141802443984036,0.6753919372890882,0.6426822973468718
test_156,0.8555456872677208,0.930243126561088,0.7919528000766108,0.838294614823176
test_157,0.5235690235687481,0.6386856629436033,0.44361237407466914,0.46574598616676477
test_158,0.8528550512437291,0.7634338138912788,0.9660033167475829,0.8353873076070594
