case_id,dice_f1,precision,recall_sensitivity,boundary_f1
test_100,0.48954280155612256,0.6026946107775409,0.4121621621617402,0.4988222331272373
test_101,0.9389080856938915,0.9101018220780948,0.9695974878661582,0.9635435677296025
test_102,0.7991646362684558,0.9325751421601561,0.6991473812420003,0.7483722061081551
test_103,0.545427663191731,0.7767951147593666,0.4202551834125994,0.4705882307659853
test_104,0.8827340459988755,0.9359972521170872,0.8352063751523955,0.8910235820651276
test_105,0.7453597700585836,0.7590791823767026,0.7321274763128222,0.7233455351832844
test_106,0.7750888192264263,0.9199325329884711,0.669651885020461,0.7271880014631303
test_107,0.5156249999993396,0.8887417218503809,0.3631607432791572,0.5383332349060822
test_108,0.866604957316809,0.8813807531362314,0.8523164070385347,0.9056809968999252
test_109,0.8373101952270671,0.88004209049302,0.798535964352644,0.835487606363607
test_10,0.8789180453362485,0.9143438633741134,0.8461349492295723,0.9004490476954357
test_110,0.6984017159062489,0.7652767247903484,0.6422753881386584,0.6866853618266692
test_111,0.6227501799848538,0.7158620689635424,0.5510724145242067,0.6900232712395916
test_112,0.7921790797286222,0.9463519313289099,0.6812024714820802,0.7310786033243876
test_113,0.761230050602755,0.9238473167027138,0.647292466568718,0.8148385417671681
test_114,0.44054174728349416,0.7105136821874448,0.31924072476238213,0.39525121870368635
test_115,0.7118730808591676,0.7318484742182886,0.6929591497829741,0.7393599524870403
test_116,0.48237708574954724,0.505895564288778,0.46094815825296565,0.481129375686967
test_117,0.8040876242091214,0.8161604584517865,0.7923667519741934,0.840263826843833
test_118,0.700953336677495,0.690387941683493,0.7118471337561482,0.7273702265019019
test_119,0.802270728391459,0.7871038594276952,0.8180335887806652,0.7239887633122281
test_11,0.6201015830643161,0.5487892906355083,0.7127151866365155,0.6211267556455697
test_120,0.5570633603431054,0.6457673155259263,0.48978540772448104,0.5626834505954031
test_121,0.8127133105796268,0.8859091613689569,0.7506896098768545,0.8195136594815587
test_122,0.8190381755068269,0.9386363636328082,0.7264731750198579,0.8605886673053638
test_123,0.7846407021384699,0.799463447348984,0.7703576044791677,0.8648632997341911
test_124,0.6805058191580794,0.8896854425736801,0.5509649361234474,0.7132082513723494
test_125,0.7985456198150226,0.9084798345374652,0.7123454287437414,0.8159083916231125
test_126,0.8154371814258625,0.9209261133597413,0.7316313197302585,0.6975664281578419
test_127,0.9009038800700502,0.9261189801689221,0.8770254319123543,0.9366033212486016
test_128,0.7261345852888835,0.639803891526521,0.8393969849229359,0.7491020189472544
test_129,0.7020136172668376,0.8635067712014843,0.5914083475699502,0.7198394064459417
test_12,0.6072754268736343,0.7590942835903524,0.5060628557275277,0.7624495033703719
test_130,0.8487567641616381,0.9179878500511794,0.7892356687893062,0.8295882894684915
test_131,0.8656180420880085,0.8294562973147565,0.9050765995780939,0.9050429184294747
test_132,0.6837667398847277,0.9117535903232961,0.546990137172036,0.6613407243347368
test_133,0.8617224140592373,0.8955543652909528,0.8303535955494334,0.8457123153794868
test_134,0.7163093894943485,0.7797489082958792,0.6624159517729394,0.6379503570283344
test_135,0.6978086251261811,0.7945302788122989,0.6220800889868993,0.7592301783887636
test_136,0.821765777703477,0.8774319066132341,0.7727414330206033,0.8335711656941988
test_137,0.5533811795120789,0.536288232244223,0.5715995948056252,0.6052246628993608
test_138,0.8659094494392917,0.8800705467358023,0.8521968638396954,0.9221331912772718
test_139,0.8954957874263646,0.8727301436903951,0.9194809515872243,0.906556434546825
test_13,0.7822226656021637,0.7086948662321866,0.8727738201236945,0.6921580420069815
test_140,0.747339077545936,0.7965964343576537,0.7038186157501103,0.7959102579708245
test_141,0.8042655224628948,0.7760594252304236,0.8345992666306514,0.8360591910648224
test_142,0.5277844215893105,0.6855840927906264,0.4290343486708632,0.5378278068925556
test_143,0.8558488080039297,0.8662999083096887,0.8456468673711589,0.8422530903882799
test_144,0.8834941383956408,0.9048985230040325,0.863078950034597,0.9271926050992272
test_145,0.7236239272112515,0.8427776942719934,0.6339891451824581,0.8167782999427565
test_146,0.03611680327864227,0.019418812835670818,0.25776965264611024,0.037423916693765415
test_147,0.7507550942269321,0.8586998832222082,0.6669186002564682,0.7595024935877756
test_148,0.6168138547995087,0.7459084604705327,0.5258114978485278,0.5427375675604452
test_149,0.8048389769646993,0.9138233818352812,0.7190800513268985,0.8633905760738472
test_14,0.644450842089647,0.7810537334250156,0.5485175202149614,0.6195371604424823
test_150,0.8834170008691469,0.9610104338269808,0.817417479758762,0.8075866714430301
test_151,0.7780353769531263,0.9200852965059706,0.6739809580476985,0.7379893280779591
test_152,0.6337015345832651,0.5106942287005488,0.8347656249983696,0.6318864062912315
test_153,0.6166050662574446,0.7913003239222783,0.5050952591928739,0.5560424443986898
test_154,0.9286783042388225,0.9487898089159889,0.9094017094005991,0.9702835052422942
test_155,0.7350532350527333,0.7172349493863649,0.7537793952956974,0.7440481466483357
test_156,0.8616847565071263,0.855766479060521,0.8676854628098774,0.8572877379604145
