case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.6404581518817393,0.7674052894913975,0.5495495495489869,0.6250417426861079,0.6317224336286842
test_101,0.9274907222374197,0.9274907222367578,0.9274907222367578,0.9494431058991983,0.9441448699097137
test_102,0.863485656623652,0.9008602538645847,0.8290886944962744,0.856873817992357,0.8758452877369244
test_103,0.7178907188798205,0.9457999627473537,0.5784916837541826,0.6774144465346513,0.705047417729873
test_104,0.8820708446861678,0.9452230787188212,0.8268287699215091,0.8907553951558639,0.9158657210616898
test_105,0.714055577929564,0.7532660647894283,0.6787252368641221,0.7055701557522412,0.7395797869313007
test_106,0.7613471236854596,0.9324748743708831,0.6432904810048798,0.7313783657020015,0.7532210061590543
test_107,0.33371559632979686,0.8122819260236408,0.20999458776797764,0.26018775487743,0.27189708296768955
test_108,0.8666734673050426,0.8740740740722756,0.8593971272489189,0.912275770798731,0.9151826479656673
test_109,0.8442079553377143,0.9341698841680808,0.7700509229777689,0.855765183495955,0.8861352734582488
test_10,0.8650217706817788,0.9035134653104123,0.8296757287906733,0.8584549589661119,0.8509049707657707
test_110,0.7141416179135807,0.7571652645076897,0.6757444642394047,0.7191030373906986,0.7073612908158076
test_111,0.5363849765250347,0.8675842429954078,0.3881928222544315,0.5710761735253169,0.5896566361401521
test_112,0.8475489551840928,0.9481034989694971,0.7662785171093556,0.8283988294509564,0.8464338124629
test_113,0.7908133411345883,0.8834776924319604,0.7157420892351175,0.8317113646562392,0.8223983382430562
test_114,0.553031378673468,0.8090984628151037,0.42008196721266167,0.5324804477138725,0.5097054520293005
test_115,0.7420328116153667,0.8584205933663647,0.6534373962127974,0.8028969953328997,0.8058873721249269
test_116,0.32036423841015405,0.838872832363881,0.1979877216913404,0.3111165430448504,0.3134099806654768
test_117,0.7769127843323337,0.8567404426547864,0.7106932235443298,0.7938722593746583,0.8101749803923732
test_118,0.8244394912798946,0.8492706645033785,0.801019108278214,0.8969132933754591,0.8962016140615463
test_119,0.8235983263591434,0.8459687123932509,0.8023805641597874,0.7564778167191748,0.8057033714730123
test_11,0.7695255900907831,0.8520857054126362,0.7015510482352978,0.7748667411103055,0.7829241148504933
test_120,0.5717862301390738,0.6510964912266424,0.5096995708145756,0.5757749649690993,0.6021304754894816
test_121,0.836155738890696,0.9310233682499097,0.7588335741484844,0.8421916114661906,0.8280023022306336
test_122,0.839198358843555,0.9087491455881451,0.7795367927271195,0.8639768773373079,0.8585452377767465
test_123,0.8350652221967332,0.8576294277909682,0.8136579060732149,0.897920353683028,0.9051732828140566
test_124,0.7588986599661018,0.8985992314356036,0.6567907945993867,0.7640364309232563,0.8104718866773374
test_125,0.8090191657262581,0.9113538227053306,0.7273464423257099,0.8214186958198446,0.8363424077445446
test_126,0.8433781938753259,0.94640735413611,0.7605789526581764,0.7543474161962868,0.8345844859041051
test_127,0.8994544037407307,0.934629179681899,0.8668312050639909,0.9298428100495173,0.9272358079541047
test_128,0.6901735028378586,0.5730217737645075,0.8675376884404673,0.7385409893458424,0.7354945410971736
test_129,0.6669668317564657,0.865939204984934,0.5423480595544488,0.7516773017120681,0.7556031852363416
test_12,0.5006200177139051,0.880922693261341,0.34966592427530396,0.6308771154720701,0.5607008718780829
test_130,0.8108692518376781,0.9337649402382687,0.7165605095536837,0.7829085552246832,0.7913259347064048
test_131,0.8575716644147849,0.8569286142758594,0.8582156803832108,0.8845489493737884,0.8875196885704
test_132,0.7187963837533944,0.8876853857675593,0.6038997846042354,0.6746377701938511,0.6917480489485045
test_133,0.843435673284089,0.8976572133158864,0.7953913388947205,0.8511227941431609,0.8751512844893354
test_134,0.6943164362515868,0.5924954940188493,0.8383955483412492,0.6532663257674637,0.6609111103497107
test_135,0.6501618122972086,0.7774767801842541,0.5586763070070097,0.6938455968546907,0.7264034070154061
test_136,0.7990629880263759,0.9018801410088095,0.717289719625051,0.8018314785726548,0.8187496447748698
test_137,0.6872106977538628,0.6427483364061229,0.7382816097239724,0.6642317321522112,0.6982280423354421
test_138,0.8230651526126898,0.8550870147241381,0.7933550690874192,0.8662508511321008,0.848835227108364
test_139,0.924563172042234,0.933819786185417,0.9154882715007229,0.9616203806143713,0.9540212159624823
test_13,0.7441409093111048,0.659612903225239,0.8535173642020775,0.6301961798628757,0.7021809833484608
test_140,0.7079542119156033,0.9192073170696677,0.575656324580965,0.7764820165121347,0.7548461357547586
test_141,0.8641910510426032,0.8658953457785092,0.8624934520680166,0.9135628598646559,0.9166737674068867
test_142,0.25128434219315243,0.9079903147626475,0.1458198314968946,0.24200828740561547,0.2585170318120918
test_143,0.855994305095743,0.881804848588662,0.831651749389071,0.8298066565798996,0.8593215070109257
test_144,0.8943317732704658,0.9184022215092188,0.8714908280116839,0.9555481813974744,0.9509127407513229
test_145,0.6347459929362709,0.794727891155111,0.528380823156345,0.7045565836679297,0.6980859821903805
test_146,0.04980765337102691,0.028005464480810552,0.2248628884785217,0.052198829227214256,0.03539300852344254
test_147,0.6833704697373092,0.8577625570766463,0.5679086992664439,0.6803612481061927,0.7108143012083837
test_148,0.6879696951178054,0.917087473528397,0.5504497457953162,0.6112172037129535,0.5985198274564122
test_149,0.8404962571319475,0.894783771733287,0.7924193070765053,0.8848972742680282,0.8646345802159144
test_14,0.8215908320330768,0.919969627940896,0.7422200441059272,0.7998359872367853,0.81899641091946
test_150,0.8839122228792688,0.9666071098509231,0.8142516088847757,0.7953259700699782,0.8315422762952529
test_151,0.7797222906906665,0.8708019820142495,0.7058911038376183,0.7497887680827392,0.751900080760653
test_152,0.5535346602603349,0.4935740514068336,0.6300781249987694,0.5492738060639203,0.5677060739630472
test_153,0.5272688079321758,0.9756681292342415,0.3612464923934999,0.4526483393982137,0.45942227980583616
test_154,0.9165981662972389,0.9505573770479337,0.8849816849806045,0.9610389560367573,0.9585687332204598
test_155,0.6976598575560008,0.7912302503092646,0.6238801791704593,0.6919817477111423,0.7238609121387869
test_156,0.8775460835062763,0.8779283639875334,0.8771641357956502,0.8816274506457422,0.8693800393802611
