case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_66,LAD_LCX,3869,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,16,0,0,,False
test_67,LAD_LCX,4240,0,0.0,17,1.0,1.0,0,0.0,2,17,2,8.5,37,0,0,,False
test_68,LAD_LCX,9512,0,0.0,19,1.0,1.0,0,0.0,1,19,2,19.0,38,0,0,,False
test_69,LAD_LCX,2608,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,6,0,0,,False
test_7,LAD_LCX,5887,0,0.0,13,0.9668232530827952,0.9808051639205028,1,0.04450484117547138,1,13,1,13.0,29,3,1,0.3333333333333333,False
test_70,RCA,2745,927,0.3377049180327869,8,0.9316037813943479,0.7551912568306011,2,0.907103825136612,1,8,1,8.0,16,0,0,,False
test_71,RCA,5677,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_72,LAD_LCX,956,0,0.0,6,1.0,1.0,0,0.0,2,6,0,3.0,13,0,0,,False
test_73,LAD_LCX,6783,0,0.0,8,1.0,1.0,0,0.0,2,8,1,4.0,18,0,0,,False
test_74,LAD_LCX,5001,0,0.0,9,1.0,1.0,0,0.0,1,9,0,9.0,24,0,0,,False
test_75,LAD_LCX,9498,0,0.0,12,1.0,1.0,0,0.0,2,12,0,6.0,34,0,0,,False
test_76,RCA,2969,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_77,LAD_LCX,8391,0,0.0,19,1.0,1.0,0,0.0,1,19,3,19.0,40,0,0,,False
test_78,LAD_LCX,8215,0,0.0,14,1.0,1.0,0,0.0,1,14,2,14.0,32,0,0,,False
test_79,RCA,10896,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,0,0,0,,False
test_8,LAD_LCX,8813,0,0.0,5,1.0,1.0,0,0.0,2,5,1,2.5,16,0,0,,False
test_80,LAD_LCX,8785,0,0.0,13,1.0,1.0,0,0.0,1,13,1,13.0,30,0,0,,False
test_81,LAD_LCX,5874,0,0.0,8,1.0,1.0,0,0.0,1,8,1,8.0,18,0,0,,False
test_82,LAD_LCX,10261,0,0.0,9,0.9983374896093101,0.9994152616704025,1,0.03908001169476659,2,9,0,4.5,27,0,0,,False
test_83,LAD_LCX,6196,0,0.0,13,1.0,1.0,0,0.0,2,13,3,6.5,24,0,0,,False
test_84,LAD_LCX,7213,0,0.0,15,1.0,1.0,0,0.0,1,15,0,15.0,33,0,0,,False
test_85,LAD_LCX,5948,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,21,0,0,,False
test_86,RCA,9473,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,0,0,0,,False
test_87,LAD_LCX,4659,0,0.0,12,1.0,1.0,0,0.0,1,12,3,12.0,32,0,0,,False
test_88,LAD_LCX,1814,0,0.0,3,1.0,1.0,0,0.0,1,3,2,3.0,5,0,0,,False
test_89,LAD_LCX,6749,0,0.0,10,0.9841792312592907,0.8896132760408949,1,0.6977329974811083,1,10,0,10.0,27,9,0,0.0,False
test_9,RCA,9685,0,0.0,7,1.0,1.0,0,0.0,1,7,1,7.0,0,0,0,,False
