combo_label,no_activation,impl_style_requested,fold_strategy,node_name,op_type,node_kind,MH,MW,PE,SIMD,PE_times_SIMD,log2_MW,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,NumChannels,numSteps,IFMChannels,IFMDim_h,IFMDim_w,OFMDim_h,OFMDim_w,ConvKernelDim_h,ConvKernelDim_w,Stride_h,Stride_w,Dilation_h,Dilation_w,depthwise,parallel_window,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,Thresholding_rtl_0,Thresholding_rtl,Thresholding,,,1,,,,UINT8,UINT8,UINT8,8,8,,,,,32,255,,,,,,,,,,,,,,58,0,15,240,1,2,0,0
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,MVAU_hls_0,MVAU_hls,MVAU,8,32,1,32,32,5.0,INT8,UINT8,INT19,8,8,lut,False,auto,internal_decoupled,,,,,,,,,,,,,,,,2372,128,0,1903,0,0,0,0
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,Thresholding_rtl_1,Thresholding_rtl,Thresholding,,,1,,,,INT19,INT19,UINT8,19,19,,,,,8,255,,,,,,,,,,,,,,139,0,12,433,1,0,0,0
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,SWU,,,,8,,,,UINT8,UINT8,,8,,,distributed,,,,8,64,64,32,32,3,3,1,1,16,16,0,0,3338,2442,0,202,0,0,0,0
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,MVAU_hls_1,MVAU_hls,MVAU,8,72,1,72,72,6.17,INT8,UINT8,INT20,8,8,lut,False,auto,internal_decoupled,,,,,,,,,,,,,,,,7055,282,0,4104,0,0,0,0
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,Thresholding_rtl_2,Thresholding_rtl,Thresholding,,,1,,,,INT20,INT20,UINT8,20,20,,,,,8,255,,,,,,,,,,,,,,117,0,12,455,1,4,0,0
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,MVAU_hls_2,MVAU_hls,MVAU,32,8,1,8,8,3.0,INT8,UINT8,INT18,8,8,lut,False,auto,internal_decoupled,,,,,,,,,,,,,,,,891,32,0,566,0,0,0,0
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,Thresholding_rtl_3,Thresholding_rtl,Thresholding,,,1,,,,INT18,INT18,UINT8,18,18,,,,,32,255,,,,,,,,,,,,,,100,0,9,427,3,5,0,0
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,Thresholding_rtl_4,Thresholding_rtl,Thresholding,,,1,,,,UINT9,UINT9,UINT8,9,9,,,,,32,255,,,,,,,,,,,,,,79,0,14,280,1,3,0,0
noact1_hls_lut_pe1_simdmw,1,hls,pe1_simdmw,Thresholding_rtl_5,Thresholding_rtl,Thresholding,,,1,,,,UINT8,UINT8,UINT8,8,8,,,,,32,255,,,,,,,,,,,,,,68,0,16,227,1,2,0,0
