partition,node_name,op_type,MH,MW,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
2,MVAU_rtl_7,MVAU_rtl,8,72,8,8,8,8,True,INT4,UINT4,INT12,4,4,dsp,True,auto,internal_decoupled,64,6.17,1026,124,0,1564,0,0,0,16
2,MVAU_rtl_8,MVAU_rtl,32,8,16,2,16,2,True,INT6,UINT4,INT11,6,4,dsp,True,auto,internal_decoupled,32,3.0,661,104,0,1053,0,0,0,16
2,MVAU_rtl_9,MVAU_rtl,8,32,4,8,4,8,True,INT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,32,5.0,478,28,0,448,3,0,0,16
2,MVAU_rtl_10,MVAU_rtl,8,72,2,24,2,24,True,INT4,UINT6,INT14,4,6,dsp,True,auto,internal_decoupled,48,6.17,857,180,0,717,0,0,0,24
2,MVAU_rtl_11,MVAU_rtl,32,8,8,4,8,4,True,INT4,UINT6,INT12,4,6,dsp,True,auto,internal_decoupled,32,3.0,554,79,0,701,0,0,0,16
2,MVAU_rtl_12,MVAU_rtl,8,32,4,8,4,8,True,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,32,5.0,573,124,0,643,0,0,0,16
2,MVAU_rtl_13,MVAU_rtl,8,72,8,8,8,8,True,INT6,UINT4,INT14,6,4,dsp,True,block,internal_decoupled,64,6.17,806,0,0,678,5,1,0,32
2,MVAU_rtl_14,MVAU_rtl,32,8,32,1,32,1,True,INT4,UINT4,INT10,4,4,dsp,True,block,internal_decoupled,32,3.0,772,0,0,1468,2,0,0,8
3,MVAU_rtl_0,MVAU_rtl,8,32,8,4,8,4,True,INT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,32,5.0,538,0,0,607,3,0,0,16
3,MVAU_rtl_1,MVAU_rtl,8,72,8,8,8,8,True,INT4,UINT4,INT12,4,4,dsp,True,auto,internal_decoupled,64,6.17,1023,124,0,1553,0,0,0,16
3,MVAU_rtl_2,MVAU_rtl,32,8,32,1,32,1,True,INT4,UINT6,INT12,4,6,dsp,True,block,internal_decoupled,32,3.0,714,0,0,1668,2,0,0,16
3,MVAU_rtl_3,MVAU_rtl,8,32,4,8,4,8,True,INT4,UINT4,INT11,4,4,dsp,True,block,internal_decoupled,32,5.0,494,20,0,773,2,0,0,8
3,MVAU_rtl_4,MVAU_rtl,8,72,8,8,8,8,True,INT6,UINT4,INT14,6,4,dsp,True,block,internal_decoupled,64,6.17,806,0,0,678,5,1,0,32
3,MVAU_rtl_5,MVAU_rtl,32,8,4,8,4,8,True,INT6,UINT6,INT14,6,6,dsp,True,block,internal_decoupled,32,3.0,452,28,0,404,3,0,0,16
3,MVAU_rtl_6,MVAU_rtl,8,32,2,16,2,16,True,INT4,UINT6,INT13,4,6,dsp,True,block,internal_decoupled,32,5.0,468,56,0,329,2,0,0,16
3,MVAU_rtl_7,MVAU_rtl,8,72,2,24,2,24,True,INT6,UINT4,INT14,6,4,dsp,True,block,internal_decoupled,48,6.17,733,56,0,392,4,0,0,24
3,MVAU_rtl_8,MVAU_rtl,32,8,16,2,16,2,True,INT6,UINT4,INT12,6,4,dsp,True,block,internal_decoupled,32,3.0,598,8,0,918,3,0,0,16
3,MVAU_rtl_9,MVAU_rtl,8,32,2,16,2,16,True,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,32,5.0,575,152,0,536,0,0,0,16
3,MVAU_rtl_10,MVAU_rtl,8,72,8,8,8,8,True,INT6,UINT4,INT14,6,4,dsp,True,auto,internal_decoupled,64,6.17,991,185,0,1059,0,0,0,32
3,MVAU_rtl_11,MVAU_rtl,32,8,4,8,4,8,True,INT6,UINT4,INT12,6,4,dsp,True,auto,internal_decoupled,32,3.0,491,116,0,547,0,0,0,16
4,MVAU_rtl_0,MVAU_rtl,8,32,2,16,2,16,True,INT4,UINT6,INT14,4,6,dsp,True,block,internal_decoupled,32,5.0,476,56,0,367,2,0,0,16
4,MVAU_rtl_1,MVAU_rtl,8,72,8,8,8,8,True,INT4,UINT6,INT14,4,6,dsp,True,auto,internal_decoupled,64,6.17,932,125,0,931,0,0,0,32
4,MVAU_rtl_2,MVAU_rtl,32,8,32,1,32,1,True,INT4,UINT6,INT12,4,6,dsp,True,block,internal_decoupled,32,3.0,715,0,0,1668,2,0,0,16
4,MVAU_rtl_3,MVAU_rtl,8,32,4,8,4,8,True,INT6,UINT6,INT15,6,6,dsp,True,auto,internal_decoupled,32,5.0,572,123,0,658,0,0,0,16
4,MVAU_rtl_4,MVAU_rtl,8,72,8,8,8,8,True,INT4,UINT6,INT14,4,6,dsp,True,auto,internal_decoupled,64,6.17,927,122,0,925,0,0,0,32
4,MVAU_rtl_5,MVAU_rtl,32,8,4,8,4,8,True,INT4,UINT4,INT10,4,4,dsp,True,auto,internal_decoupled,32,3.0,515,84,0,767,0,0,0,8
4,MVAU_rtl_6,MVAU_rtl,8,32,2,16,2,16,True,INT8,UINT6,INT17,8,6,dsp,True,auto,internal_decoupled,32,5.0,666,182,0,676,0,0,0,16
4,MVAU_rtl_7,MVAU_rtl,8,72,4,12,4,12,True,INT6,UINT4,INT14,6,4,dsp,True,block,internal_decoupled,48,6.17,635,28,0,465,4,0,0,24
4,MVAU_rtl_8,MVAU_rtl,32,8,32,1,32,1,True,INT6,UINT4,INT11,6,4,dsp,True,block,internal_decoupled,32,3.0,629,0,0,1540,3,0,0,16
