partition,node_name,op_type,node_kind,MH,MW,PE,SIMD,PE_times_SIMD,log2_MW,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,NumChannels,numSteps,IFMChannels,IFMDim_h,IFMDim_w,OFMDim_h,OFMDim_w,ConvKernelDim_h,ConvKernelDim_w,Stride_h,Stride_w,Dilation_h,Dilation_w,depthwise,parallel_window,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
2,MVAU_rtl_13,MVAU_rtl,MVAU,8,72,8,8,64,6.17,INT6,UINT4,INT14,6,4,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,806,0,0,678,5,1,0,32
2,Thresholding_rtl_28,Thresholding_rtl,Thresholding,,,1,,,,INT14,INT14,UINT4,14,14,,,,,8,15,,,,,,,,,,,,,,73,0,5,208,0,0,0,0
2,MVAU_rtl_14,MVAU_rtl,MVAU,32,8,32,1,32,3.0,INT4,UINT4,INT10,4,4,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,772,0,0,1468,2,0,0,8
2,Thresholding_rtl_29,Thresholding_rtl,Thresholding,,,4,,,,INT11,INT10,INT8,11,10,,,,,32,255,,,,,,,,,,,,,,300,0,33,1314,0,16,0,0
3,Thresholding_rtl_0,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,32,255,,,,,,,,,,,,,,74,0,9,324,2,4,0,0
3,Thresholding_rtl_1,Thresholding_rtl,Thresholding,,,1,,,,INT9,INT8,UINT6,9,8,,,,,32,63,,,,,,,,,,,,,,64,0,14,154,0,1,0,0
3,Thresholding_rtl_2,Thresholding_rtl,Thresholding,,,1,,,,UINT6,UINT6,INT8,6,6,,,,,32,255,,,,,,,,,,,,,,64,0,14,214,1,2,0,0
3,MVAU_rtl_0,MVAU_rtl,MVAU,8,32,8,4,32,5.0,INT6,UINT6,INT15,6,6,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,538,0,0,607,3,0,0,16
3,Thresholding_rtl_3,Thresholding_rtl,Thresholding,,,1,,,,INT15,INT15,UINT4,15,15,,,,,8,15,,,,,,,,,,,,,,80,0,5,220,0,0,0,0
3,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,SWU,,,,1,,,,UINT4,UINT4,,4,,,distributed,,,,8,16,16,8,8,3,3,1,1,4,4,0,0,385,144,0,100,0,0,0,0
3,MVAU_rtl_1,MVAU_rtl,MVAU,8,72,8,8,64,6.17,INT4,UINT4,INT12,4,4,dsp,True,auto,internal_decoupled,,,,,,,,,,,,,,,,1023,124,0,1553,0,0,0,16
3,Thresholding_rtl_4,Thresholding_rtl,Thresholding,,,1,,,,INT12,INT12,UINT6,12,12,,,,,8,63,,,,,,,,,,,,,,78,0,7,261,0,2,0,0
3,MVAU_rtl_2,MVAU_rtl,MVAU,32,8,32,1,32,3.0,INT4,UINT6,INT12,4,6,dsp,True,block,internal_decoupled,,,,,,,,,,,,,,,,714,0,0,1668,2,0,0,16
3,Thresholding_rtl_5,Thresholding_rtl,Thresholding,,,4,,,,INT13,INT12,INT8,13,12,,,,,32,255,,,,,,,,,,,,,,347,0,33,1466,0,16,0,0
3,Thresholding_rtl_6,Thresholding_rtl,Thresholding,,,1,,,,INT10,INT9,INT8,10,9,,,,,32,255,,,,,,,,,,,,,,70,0,9,314,2,5,0,0
