partition,node_name,op_type,MH,MW,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
3,MVAU_hls_12,MVAU_hls,8,32,1,16,1,16,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,5.0,715,48,0,1114,0,0,0,19
3,MVAU_hls_13,MVAU_hls,8,24,8,2,8,2,True,INT6,UINT4,UINT4,6,4,dsp,True,auto,internal_decoupled,16,4.58,1246,48,0,610,0,0,0,16
3,MVAU_hls_14,MVAU_hls,8,24,1,12,1,12,True,INT6,UINT4,UINT6,6,4,dsp,True,auto,internal_decoupled,12,4.58,964,36,0,1236,0,0,0,12
3,MVAU_hls_15,MVAU_hls,32,8,16,1,16,1,True,INT4,UINT6,INT8,4,6,dsp,True,block,internal_decoupled,16,3.0,29453,0,0,1360,1,0,0,16
4,MVAU_hls_0,MVAU_hls,8,32,8,2,8,2,True,INT4,UINT6,UINT6,4,6,dsp,True,block,internal_decoupled,16,5.0,4026,0,0,484,1,0,0,16
4,MVAU_hls_1,MVAU_hls,8,24,4,3,4,3,True,INT6,UINT6,UINT6,6,6,dsp,True,block,internal_decoupled,12,4.58,2690,0,0,608,1,0,0,12
4,MVAU_hls_2,MVAU_hls,8,24,2,8,2,8,True,INT4,UINT6,UINT6,4,6,dsp,True,block,internal_decoupled,16,4.58,1433,0,0,650,1,0,0,20
4,MVAU_hls_3,MVAU_hls,32,8,2,8,2,8,True,INT6,UINT6,INT8,6,6,dsp,True,auto,internal_decoupled,16,3.0,9859,48,0,6715,0,0,0,20
4,MVAU_hls_4,MVAU_hls,8,32,4,4,4,4,True,INT6,UINT4,UINT4,6,4,dsp,True,auto,internal_decoupled,16,5.0,947,48,0,752,0,0,0,16
4,MVAU_hls_5,MVAU_hls,8,24,4,4,4,4,True,INT6,UINT4,UINT4,6,4,dsp,True,auto,internal_decoupled,16,4.58,947,48,0,716,0,0,0,16
4,MVAU_hls_6,MVAU_hls,8,24,8,2,8,2,True,INT4,UINT4,UINT4,4,4,dsp,True,block,internal_decoupled,16,4.58,361,0,0,418,1,0,0,16
4,MVAU_hls_7,MVAU_hls,32,8,16,1,16,1,True,INT4,UINT4,INT8,4,4,dsp,True,block,internal_decoupled,16,3.0,24997,0,0,1105,1,0,0,16
4,MVAU_hls_8,MVAU_hls,8,32,8,2,8,2,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,16,5.0,4618,48,0,668,0,0,0,16
4,MVAU_hls_9,MVAU_hls,8,24,8,2,8,2,True,INT6,UINT6,UINT4,6,6,dsp,True,block,internal_decoupled,16,4.58,1324,0,0,540,1,1,0,16
4,MVAU_hls_10,MVAU_hls,8,24,8,2,8,2,True,INT4,UINT4,UINT4,4,4,dsp,True,block,internal_decoupled,16,4.58,367,0,0,418,1,0,0,16
4,MVAU_hls_11,MVAU_hls,32,8,2,8,2,8,True,INT4,UINT4,INT8,4,4,dsp,True,block,internal_decoupled,16,3.0,7222,0,0,5055,1,0,0,16
4,MVAU_hls_12,MVAU_hls,8,32,4,4,4,4,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,5.0,1063,48,0,851,0,0,0,16
4,MVAU_hls_13,MVAU_hls,8,24,1,12,1,12,True,INT6,UINT4,UINT6,6,4,dsp,True,auto,internal_decoupled,12,4.58,968,36,0,1261,0,0,0,12
4,MVAU_hls_14,MVAU_hls,8,24,1,12,1,12,True,INT6,UINT6,UINT6,6,6,dsp,True,auto,internal_decoupled,12,4.58,1156,36,0,1504,0,0,0,12
4,MVAU_hls_15,MVAU_hls,32,8,16,1,16,1,True,INT6,UINT6,INT8,6,6,dsp,True,block,internal_decoupled,16,3.0,33542,0,0,1570,1,1,0,16
5,MVAU_hls_0,MVAU_hls,8,32,2,8,2,8,True,INT4,UINT6,UINT6,4,6,dsp,True,auto,internal_decoupled,16,5.0,1465,32,0,766,0,0,0,20
5,MVAU_hls_1,MVAU_hls,8,24,4,4,4,4,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,4.58,1048,48,0,798,0,0,0,16
5,MVAU_hls_2,MVAU_hls,8,24,1,12,1,12,True,INT6,UINT4,UINT6,6,4,dsp,True,block,internal_decoupled,12,4.58,909,0,0,1211,1,0,0,12
5,MVAU_hls_3,MVAU_hls,32,8,16,1,16,1,True,INT6,UINT6,INT8,6,6,dsp,True,block,internal_decoupled,16,3.0,31711,0,0,1439,1,1,0,16
5,MVAU_hls_4,MVAU_hls,8,32,8,2,8,2,True,INT4,UINT4,UINT6,4,4,dsp,True,block,internal_decoupled,16,5.0,488,0,0,450,1,0,0,16
5,MVAU_hls_5,MVAU_hls,8,24,4,4,4,4,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,16,4.58,1041,48,0,798,0,0,0,16
5,MVAU_hls_6,MVAU_hls,8,24,4,4,4,4,True,INT6,UINT4,UINT4,6,4,dsp,True,block,internal_decoupled,16,4.58,888,0,0,624,1,1,0,16
5,MVAU_hls_7,MVAU_hls,32,8,2,8,2,8,True,INT4,UINT4,INT8,4,4,dsp,True,block,internal_decoupled,16,3.0,6843,0,0,5154,1,0,0,16
5,MVAU_hls_8,MVAU_hls,8,32,8,2,8,2,True,INT4,UINT6,UINT4,4,6,dsp,True,auto,internal_decoupled,16,5.0,1192,32,0,508,0,0,0,16
5,MVAU_hls_9,MVAU_hls,8,24,4,4,4,4,True,INT6,UINT4,UINT4,6,4,dsp,True,auto,internal_decoupled,16,4.58,942,48,0,716,0,0,0,16
5,MVAU_hls_10,MVAU_hls,8,24,2,8,2,8,True,INT6,UINT4,UINT4,6,4,dsp,True,block,internal_decoupled,16,4.58,596,0,0,619,1,1,0,20
5,MVAU_hls_11,MVAU_hls,32,8,16,1,16,1,True,INT6,UINT4,INT8,6,4,dsp,True,block,internal_decoupled,16,3.0,29518,0,0,1257,1,1,0,16
5,MVAU_hls_12,MVAU_hls,16,32,4,8,4,8,True,INT6,UINT6,INT6,6,6,dsp,True,auto,internal_decoupled,32,5.0,2838,96,0,1401,0,0,0,40
5,MVAU_hls_13,MVAU_hls,8,32,8,8,8,8,True,INT6,UINT6,UINT4,6,6,dsp,True,auto,internal_decoupled,64,5.0,1675,170,0,1628,0,0,0,80
5,VVAU_hls_0,VVAU_hls,16,9,2,3,2,3,True,UINT7,INT6,INT8,7,6,dsp,True,auto,internal_decoupled,6,3.17,2270,21,0,376,0,0,0,6
5,MVAU_hls_14,MVAU_hls,8,32,1,32,1,32,True,INT4,UINT4,UINT6,4,4,dsp,True,block,internal_decoupled,32,5.0,854,0,0,1226,2,0,0,32
5,MVAU_hls_15,MVAU_hls,16,8,16,2,16,2,True,INT4,UINT6,INT8,4,6,dsp,True,auto,internal_decoupled,32,3.0,24326,50,0,1366,0,0,0,32
6,MVAU_hls_0,MVAU_hls,4,16,2,8,2,8,True,INT6,UINT6,UINT6,6,6,dsp,True,block,internal_decoupled,16,4.0,1493,0,0,668,1,1,0,20
6,MVAU_hls_1,MVAU_hls,4,36,1,18,1,18,True,INT6,UINT6,UINT6,6,6,dsp,True,block,internal_decoupled,18,5.17,1078,0,0,1023,2,0,0,20
6,MVAU_hls_2,MVAU_hls,16,4,4,4,4,4,True,INT6,UINT6,INT8,6,6,dsp,True,block,internal_decoupled,16,2.0,8396,0,0,520,1,1,0,16
6,MVAU_hls_3,MVAU_hls,4,16,1,16,1,16,True,INT6,UINT6,UINT6,6,6,dsp,True,block,internal_decoupled,16,4.0,818,0,0,725,1,1,0,16
6,MVAU_hls_4,MVAU_hls,4,36,2,18,2,18,True,INT4,UINT6,UINT4,4,6,dsp,True,auto,internal_decoupled,36,5.17,756,65,0,1137,0,0,0,44
6,MVAU_hls_5,MVAU_hls,16,4,16,1,16,1,True,INT6,UINT4,INT8,6,4,dsp,True,block,internal_decoupled,16,2.0,1676,0,0,858,1,1,0,16
6,MVAU_hls_6,MVAU_hls,4,16,1,16,1,16,True,INT6,UINT6,INT6,6,6,dsp,True,block,internal_decoupled,16,4.0,827,0,0,619,1,1,0,16
6,MVAU_hls_7,MVAU_hls,4,16,4,8,4,8,True,INT4,UINT6,UINT6,4,6,dsp,True,auto,internal_decoupled,32,4.0,1941,35,0,538,0,0,0,40
6,VVAU_hls_0,VVAU_hls,4,9,2,3,2,3,True,UINT7,INT6,INT8,7,6,dsp,True,block,internal_decoupled,6,3.17,2471,0,0,360,0,2,0,6
6,MVAU_hls_8,MVAU_hls,4,16,4,8,4,8,True,INT4,UINT6,UINT4,4,6,dsp,True,block,internal_decoupled,32,4.0,673,0,0,630,2,0,0,40
6,MVAU_hls_9,MVAU_hls,4,4,4,4,4,4,True,INT4,UINT4,INT8,4,4,dsp,True,auto,internal_decoupled,16,2.0,1016,0,0,331,0,0,0,16
7,MVAU_hls_0,MVAU_hls,1,4,1,4,1,4,True,INT4,UINT6,UINT8,4,6,dsp,True,block,internal_decoupled,4,2.0,174,0,0,133,0,0,0,4
7,VVAU_hls_0,VVAU_hls,1,9,1,9,1,9,True,INT4,UINT8,UINT4,4,8,dsp,True,block,internal_decoupled,9,3.17,265,0,0,264,0,0,0,9
7,MVAU_hls_1,MVAU_hls,4,1,4,1,4,1,True,UINT3,UINT4,INT8,3,4,dsp,True,block,internal_decoupled,4,0.0,103,0,0,97,0,0,0,4
7,MVAU_rtl_0,MVAU_rtl,5,16,5,16,5,16,True,INT6,UINT6,INT16,6,6,dsp,True,auto,internal_decoupled,80,4.0,1005,0,0,471,0,0,0,48
