source,partition,node_name,op_type,MH,MW,Channels,Kernel,IFMChannels,IFMDim,OFMDim,ConvKernelDim,Stride,Dilation,depthwise,parallel_window,NumChannels,numSteps,ActVal,PE,SIMD,PE_folding_json,SIMD_folding_json,pe_simd_landed_matches_json,weightDataType,inputDataType,outputDataType,accDataType,weight_bits,act_bits,resType,force_dsp,ram_style,mem_mode,runtime_writeable_weights,PE_times_SIMD,log2_MW,real_LUT,real_LUTRAM,real_SRL,real_FF,real_BRAM36,real_BRAM18,real_URAM,real_DSP
separable_alpha025_partition2,2,Thresholding_rtl_9,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,86,0,14,327,2,3,0,0
separable_alpha025_partition2,2,Thresholding_rtl_10,Thresholding_rtl,,,,,,,,,,,,,32,63,0,1,,,,,INT9,INT8,UINT6,,9,8,,,,,0,,,69,0,14,154,0,1,0,0
separable_alpha025_partition2,2,Thresholding_rtl_11,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT6,UINT6,INT8,,6,6,,,,,0,,,65,0,16,207,1,2,0,0
separable_alpha025_partition2,2,MVAU_hls_12,MVAU_hls,8,32,,,,,,,,,,,,,,8,2,8,2,True,INT4,UINT6,UINT6,INT13,4,6,dsp,True,block,internal_decoupled,0,16,5.0,4103,0,0,476,1,0,0,16
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_6,ConvolutionInputGenerator_rtl,,,,,8,40x8,8x8,3x1,1x1,16x16,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,563,264,0,105,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_13,MVAU_hls,8,24,,,,,,,,,,,,,,8,2,8,2,True,INT6,UINT6,UINT4,INT15,6,6,dsp,True,block,internal_decoupled,0,16,4.58,1326,0,0,540,1,1,0,16
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_7,ConvolutionInputGenerator_rtl,,,,,8,8x40,8x8,1x3,1x1,16x16,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,237,40,0,89,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_14,MVAU_hls,8,24,,,,,,,,,,,,,,2,8,2,8,True,INT6,UINT4,UINT4,INT13,6,4,dsp,True,block,internal_decoupled,0,16,4.58,599,0,0,619,1,1,0,20
separable_alpha025_partition2,2,MVAU_hls_15,MVAU_hls,32,8,,,,,,,,,,,,,,2,8,2,8,True,INT4,UINT4,INT8,INT9,4,4,dsp,True,block,internal_decoupled,0,16,3.0,6151,0,0,4671,1,0,0,20
separable_alpha025_partition2,2,Thresholding_rtl_12,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,78,0,14,300,2,4,0,0
separable_alpha025_partition2,2,Thresholding_rtl_13,Thresholding_rtl,,,,,,,,,,,,,32,63,0,1,,,,,INT9,INT8,UINT6,,9,8,,,,,0,,,68,0,14,154,0,0,0,0
separable_alpha025_partition2,2,Thresholding_rtl_14,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT6,UINT6,INT8,,6,6,,,,,0,,,65,0,15,209,1,2,0,0
separable_alpha025_partition2,2,MVAU_hls_16,MVAU_hls,8,32,,,,,,,,,,,,,,8,2,8,2,True,INT6,UINT6,UINT4,INT15,6,6,dsp,True,auto,internal_decoupled,0,16,5.0,1374,48,0,636,0,0,0,16
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_8,ConvolutionInputGenerator_rtl,,,,,8,12x8,8x8,3x1,1x1,2x2,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,212,40,0,83,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_17,MVAU_hls,8,24,,,,,,,,,,,,,,4,4,4,4,True,INT6,UINT4,UINT4,INT13,6,4,dsp,True,auto,internal_decoupled,0,16,4.58,944,48,0,720,0,0,0,16
separable_alpha025_partition2,2,ConvolutionInputGenerator_rtl_9,ConvolutionInputGenerator_rtl,,,,,8,8x12,8x8,1x3,1x1,2x2,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,159,8,0,77,0,0,0,0
separable_alpha025_partition2,2,MVAU_hls_18,MVAU_hls,8,24,,,,,,,,,,,,,,2,8,2,8,True,INT4,UINT4,UINT6,INT11,4,4,dsp,True,block,internal_decoupled,0,16,4.58,1259,0,0,554,1,0,0,20
separable_alpha025_partition2,2,MVAU_hls_19,MVAU_hls,32,8,,,,,,,,,,,,,,4,4,4,4,True,INT6,UINT6,INT8,INT14,6,6,dsp,True,block,internal_decoupled,0,16,3.0,18237,0,0,12670,1,1,0,16
separable_alpha025_partition3,3,Thresholding_rtl_0,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,INT10,INT9,INT8,,10,9,,,,,0,,,71,0,9,312,2,5,0,0
separable_alpha025_partition3,3,Thresholding_rtl_1,Thresholding_rtl,,,,,,,,,,,,,32,63,0,1,,,,,INT9,INT8,UINT6,,9,8,,,,,0,,,68,0,14,154,0,1,0,0
separable_alpha025_partition3,3,Thresholding_rtl_2,Thresholding_rtl,,,,,,,,,,,,,32,255,-128,1,,,,,UINT6,UINT6,INT8,,6,6,,,,,0,,,65,0,15,209,1,2,0,0
separable_alpha025_partition3,3,MVAU_hls_0,MVAU_hls,8,32,,,,,,,,,,,,,,1,16,1,16,True,INT4,UINT6,UINT6,INT13,4,6,dsp,True,auto,internal_decoupled,0,16,5.0,1092,32,0,1452,0,0,0,19
separable_alpha025_partition3,3,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,,,,,8,16x8,8x8,3x1,1x1,4x4,0,0,,,,,1,,,,,UINT6,UINT6,,,6,,,distributed,,,,,270,72,0,87,0,0,0,0
separable_alpha025_partition3,3,MVAU_hls_1,MVAU_hls,8,24,,,,,,,,,,,,,,4,4,4,4,True,INT6,UINT6,UINT4,INT15,6,6,dsp,True,auto,internal_decoupled,0,16,4.58,1045,48,0,798,0,0,0,16
separable_alpha025_partition3,3,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,,,,,8,8x16,8x8,1x3,1x1,4x4,0,0,,,,,1,,,,,UINT4,UINT4,,,4,,,distributed,,,,,187,16,0,79,0,0,0,0
separable_alpha025_partition3,3,MVAU_hls_2,MVAU_hls,8,24,,,,,,,,,,,,,,2,6,2,6,True,INT6,UINT4,UINT6,INT13,6,4,dsp,True,block,internal_decoupled,0,12,4.58,1144,0,0,539,1,0,0,12
separable_alpha025_partition3,3,MVAU_hls_3,MVAU_hls,32,8,,,,,,,,,,,,,,16,1,16,1,True,INT6,UINT6,INT8,INT14,6,6,dsp,True,auto,internal_decoupled,0,16,3.0,33392,48,0,1616,0,0,0,16
