view,dice_f1,precision,recall_sensitivity,accuracy
confidence blend,0.5872497545885743,0.5210621900742751,0.7019818087305774,0.966425755818648
6x6 only,0.5646565238178294,0.5213096082212996,0.6427070405672722,0.9661986287434526
5x5 only,0.5639834412542394,0.519453008362779,0.646340764818687,0.9664644495645789
OR (6x6 | 5x5),0.560974476452102,0.460302906125866,0.7539452570881494,0.959949824015263
