alpha,status,avg_weight_bits,avg_act_bits,lut_pct_of_budget,bram_pct_of_budget,dsp_pct_of_budget,total_dsp,total_cycles,clock_mhz,latency_ms,n_binary_vars,n_layers
0.0,Optimal,4.066666666666666,5.666666666666667,42.47176809375,29.96794871794872,52.77777777777778,912,9867268,100.0,98.67268,42489,90
0.25,Optimal,5.333333333333333,6.377777777777778,49.63366130555556,29.96794871794872,44.907407407407405,776,12292362,100.0,122.92362,42489,90
0.5,Optimal,6.266666666666667,6.4222222222222225,49.79406421875,29.96794871794872,35.70601851851852,617,14323716,100.0,143.23716,42489,90
0.75,Optimal,6.7555555555555555,6.444444444444445,49.79873847222223,29.96794871794872,31.65509259259259,547,15503364,100.0,155.03364,42489,90
1.0,Optimal,6.644444444444445,6.488888888888889,49.642456781250004,29.96794871794872,36.979166666666664,639,14979076,100.0,149.79076,42489,90
