class_id,class_name,tp,fp,fn,dice_f1,precision,recall_sensitivity,cldice
0,Background,75607796,787914,446584,0.9919022809366659,0.9896864104018405,0.9941280962385071,
1,LAD,512646,182218,315198,0.6733346117574698,0.7377645121923032,0.6192543522692606,0.6951267846810385
2,RCA,704429,101018,217959,0.8153892009364273,0.8745814435959054,0.7637013924725737,0.8236978250815533
3,LCX,552210,194969,286378,0.6964579285607488,0.7390598504508191,0.6584997638888148,0.7113173532740348
