class_id,class_name,tp,fp,fn,dice_f1,precision,recall_sensitivity,cldice
0,Background,75592442,762529,461938,0.991965932589005,0.9900133679574049,0.9939262143745039,
1,LAD,534752,217686,293092,0.6767804733585482,0.7106924424337857,0.645957450920697,0.6994811020507005
2,RCA,708142,99189,214246,0.8187942665831801,0.8771396118816089,0.7677268134450929,0.8267612466271533
3,LCX,544850,183610,293738,0.6953839320812081,0.7479477253383748,0.6497231059829064,0.7045025538823327
