class_id,class_name,tp,fp,fn,dice_f1,precision,recall_sensitivity,cldice
0,Background,76054380,2588820,0,0.9832652844343137,0.9670814514160154,0.9999999999999998,
1,LAD,0,0,827844,0.0,0.0,0.0,0.0
2,RCA,0,0,922388,0.0,0.0,0.0,0.0
3,LCX,0,0,838588,0.0,0.0,0.0,0.0
