case_id,dice_f1,precision,recall_sensitivity,boundary_f1,cldice
test_100,0.6599767613812929,0.6816495745137664,0.6396396396389847,0.6381065184657685,0.6512128302942497
test_101,0.9312582976833372,0.9635225885211179,0.9010847844691677,0.9446828565356311,0.9528688474504045
test_102,0.8914124716094382,0.9271574666581381,0.8583213376144069,0.901711950989019,0.9300923672442853
test_103,0.5651632540117839,0.7194434660078911,0.4653679653674352,0.49813745511399415,0.5293124260664962
test_104,0.8761799000550382,0.9596205302834351,0.8060890886791927,0.8991401209705367,0.9153515014785426
test_105,0.6432974737092692,0.8728883057226949,0.5093310364623319,0.6014506480218759,0.65443055620677
test_106,0.7826883062834862,0.9234092694413556,0.6791853242808903,0.7800029487490047,0.8030047879771949
test_107,0.4610143830425675,0.7666806546337949,0.3296049070894288,0.4238119666710393,0.4252428376170424
test_108,0.7913160901622609,0.813193851407316,0.7705846651815282,0.8365011548564376,0.8524590113795225
test_109,0.7980619800705749,0.9377013963459985,0.6946212603426247,0.8054785547321305,0.8534630638332026
test_10,0.902465955097165,0.9013969446933245,0.9035375040935935,0.9449251233655297,0.9426946294226887
test_110,0.7982880797019586,0.889601250975935,0.7239755663009366,0.8054474178994255,0.803682728301011
test_111,0.2859182580755204,0.895973154352394,0.17009980887625803,0.3463787805495006,0.3212048026240278
test_112,0.8496672321539542,0.9422575976831516,0.7736454372614381,0.8515195180366627,0.87977180880202
test_113,0.7723458310872489,0.9227373068415696,0.6641069773591102,0.802505219494402,0.7898834268447306
test_114,0.6517743531735813,0.9458350430838206,0.4971958584981695,0.6409588752068642,0.6471446546284386
test_115,0.7523818689243071,0.8947127489107468,0.6491198937219377,0.8079060345285956,0.7932503678598034
test_116,0.4698349174582593,0.5683853788415193,0.4004092769433827,0.4597754574004342,0.45108170194243985
test_117,0.7928735767796632,0.84379708688995,0.7477467452979328,0.8184156517033103,0.8437405330373875
test_118,0.7257091515842309,0.7312467666820196,0.7202547770682287,0.7560563404680409,0.7703385661877644
test_119,0.8137574087980517,0.833732466642433,0.7947171041891493,0.792925887395621,0.8263680796724215
test_11,0.7192678929153526,0.7721407624625882,0.6731719788642635,0.7403312398603983,0.7611595111940292
test_120,0.592261602517932,0.7250124316242541,0.5006008583682393,0.6082668446355489,0.6401446606658964
test_121,0.8116295764531144,0.8948868133593559,0.7425456456052245,0.8356986413294126,0.8102161288607374
test_122,0.7821210061169577,0.9304488475498163,0.6745822339470109,0.7766477397956079,0.7972216689587213
test_123,0.7278121775016411,0.9070739549810062,0.6077121930189407,0.808206918560987,0.7867357362182944
test_124,0.7468999999996265,0.8333147383679199,0.6767237473945122,0.7337848550397266,0.7724745791874468
test_125,0.7356106691615165,0.8697095435660589,0.6373403608338996,0.7543918530680689,0.7939291176920107
test_126,0.864853124830085,0.9404818138870213,0.8004824605483966,0.806519513115864,0.8826569780892672
test_127,0.9133770087905743,0.9550351288045023,0.8752012018447524,0.9479600316425193,0.9449488140174391
test_128,0.7412935323375708,0.7339901477818049,0.7487437185914598,0.7908795296255351,0.7845700165808743
test_129,0.5413907284759248,0.8414822439483197,0.39907249206639234,0.6021637527086217,0.6095260208266323
test_12,0.35109474907895544,0.8089285714213489,0.22420193021473844,0.40005974314292847,0.3580562624307035
test_130,0.8169974518175297,0.9357888678772212,0.7249681528657802,0.7913415788920137,0.804423743726478
test_131,0.8976165492423193,0.8958707360848356,0.8993691799325633,0.9450442277880877,0.9419684336678559
test_132,0.7053559322029116,0.8773823579003586,0.5897290556619547,0.6790981112004101,0.6845334225447035
test_133,0.8190417437791389,0.848891730604381,0.7912197059984195,0.788193624810843,0.8173674483409473
test_134,0.7170188463731596,0.6081866623602388,0.873290053326138,0.694949647434872,0.705531738532553
test_135,0.6545206878931938,0.8440931049608167,0.5344827586199465,0.7055370913689046,0.7299194473398963
test_136,0.8086704215729572,0.8942997357476514,0.7380062305284455,0.8218196655590455,0.8463017634119442
test_137,0.7173555273424943,0.7328977709447224,0.7024587899431785,0.7145568762788814,0.7327545170240921
test_138,0.7770931496912131,0.9331882480937254,0.6657351342948832,0.846500207659179,0.8261562949528509
test_139,0.8470684706840121,0.8352199223789858,0.8592580269491611,0.8082191020791684,0.7935235791197054
test_13,0.7944723081844016,0.7629637220734136,0.8286954585921318,0.7295396776533226,0.783146856890996
test_140,0.5778443113762843,0.9533479692593121,0.4145584725527099,0.6359945395178584,0.6301309588399993
test_141,0.8628351539220066,0.8200802265209767,0.9102933473010604,0.91699673362413,0.9203730207321128
test_142,0.1159796858390032,0.652925531906211,0.06364225534664467,0.10967450055980309,0.12661511939391235
test_143,0.8243606691886656,0.9372862029636806,0.7357200976397593,0.8079067445238073,0.8498533552191422
test_144,0.8687097994698293,0.9307389390769853,0.814431944865902,0.9167719898348443,0.9092110825249735
test_145,0.7060966881380011,0.8315708812247792,0.6135232926270765,0.7804683030329337,0.7831216389901623
test_146,0.04633204633196115,0.025756336876480466,0.23034734917311978,0.04871259352478788,0.029300450576725628
test_147,0.5783755324747147,0.7885669537969348,0.45665482578757716,0.5717298763662382,0.6147271373934263
test_148,0.7017317287932482,0.8780666960468958,0.5843762221347434,0.6634940148251638,0.6571777686956592
test_149,0.8145706464043719,0.9384654994838588,0.7195735860223871,0.8613331874694743,0.847745304511888
test_14,0.80183220829267,0.7890865954913533,0.8149963244292882,0.7830544799395823,0.7885300443312171
test_150,0.8915588588670007,0.9656800435803125,0.8280049823537325,0.8197130742775143,0.8501224958818289
test_151,0.8157102092577616,0.8730064472337351,0.7654715858369789,0.824532500774204,0.8252999626525694
test_152,0.7733770372386657,0.7243731877865864,0.8294921874983799,0.7960053145448032,0.8158219301964004
test_153,0.6070974679825915,0.8979178715994856,0.4585733274251092,0.537663809946432,0.5354746210277644
test_154,0.9088006131045415,0.9527316550603204,0.8687423687413081,0.948814278070056,0.9496676113290017
test_155,0.25818882466250215,0.9241379310265161,0.15005599104122333,0.3503936705193905,0.29752065850342
test_156,0.8932010785820044,0.8893470131355936,0.8970886932963563,0.9132096560096574,0.9019488212480823
test_157,0.5734552175430474,0.6521245171544511,0.5117232771681272,0.5325247689983571,0.5422159343138475
test_158,0.92306172839415,0.8815317864537229,0.9686981757857199,0.9518729182146076,0.9666666616470285
test_159,0.7746942131767012,0.7491303051379096,0.8020644886657421,0.7824940001665792,0.7603594652886685
