alpha,status,avg_weight_bits,avg_act_bits,lut_pct_of_budget,bram_pct_of_budget,total_cycles,latency_ms_at_100mhz,n_binary_vars,n_layers
0.0,Optimal,4.068181818181818,4.0,69.94172096192295,23.328002956064967,3387392,33.87392,40635,88
0.25,Optimal,5.363636363636363,5.704545454545454,69.90843873646031,39.46138817801645,5902336,59.02336,40635,88
0.5,Optimal,5.7272727272727275,6.0227272727272725,69.8699014227666,39.118787333534854,6623232,66.23232,40635,88
0.75,Optimal,6.090909090909091,6.409090909090909,69.92770739330714,41.42355665095649,7360512,73.60512,40635,88
1.0,Optimal,6.613636363636363,7.2727272727272725,69.79501641547536,33.76175594709538,10997760,109.9776,40635,88
