view,dice_f1,precision,recall_sensitivity,accuracy
confidence blend,0.5839875472052307,0.6050591924239851,0.5875978023836474,0.9719024022419877
OR (6x6 | 5x5),0.5725555626169995,0.5234800921515311,0.6597089170513442,0.9670016733804969
6x6 only,0.5582952107860935,0.5896142230217244,0.5530017687303236,0.9705554326374954
5x5 only,0.5553758267519999,0.566080129056948,0.5704881466518269,0.9696742375691362
