view,threshold,dice_f1,precision,recall_sensitivity,accuracy
5x5 only,0.25,0.5637015482288864,0.5401668354130772,0.6172212739521433,0.9682122421264279
5x5 only,0.5,0.5633427057842113,0.5722270812688922,0.5794384310910103,0.9701446787515905
6x6 only,0.25,0.554011537622882,0.54333286679887,0.5923068396352902,0.9676545969644813
6x6 only,0.5,0.551730987484437,0.5762961459055799,0.5541478445969769,0.96953111012773
OR (6x6 | 5x5),0.25,0.5565729363808387,0.4758822836315868,0.7043684374285044,0.9620873387654255
OR (6x6 | 5x5),0.5,0.5674201062538683,0.5115052956512814,0.6669366032086124,0.9657291285196571
confidence blend,0.25,0.5665397759583404,0.5033568592393681,0.679112680687008,0.96490828196204
confidence blend,0.5,0.5788598467573883,0.5949359401958345,0.5895440709091266,0.971017494201623
