view,dice_f1,precision,recall_sensitivity,accuracy
confidence blend,0.5788598467573883,0.5949359401958345,0.5895440709091266,0.971017494201623
OR (6x6 | 5x5),0.5674201062538683,0.5115052956512814,0.6669366032086124,0.9657291285196571
5x5 only,0.5633427057842113,0.5722270812688922,0.5794384310910103,0.9701446787515905
6x6 only,0.551730987484437,0.5762961459055799,0.5541478445969769,0.96953111012773
