stem,n_patches,oversample_blend_dice,oversample_or_dice,grid_blend_dice,blend_px_outside_coverage,or_px_outside_coverage,blend_minus_grid
test_236,50,0.7755980465186858,0.7669511249024306,0.5633302724208367,0,0,0.21226777409784914
test_108,50,0.7178143712568134,0.756132538304207,0.6017793323697044,0,0,0.11603503888710898
test_31,50,0.3483946417178671,0.5345389452423305,0.3600940544170257,0,0,-0.011699412699158585
test_85,50,0.5394474962180245,0.5951160280621997,0.3723877414242537,0,0,0.16705975479377078
test_225,50,0.5230048731089658,0.6108374384232871,0.48243364151477336,0,0,0.04057123159419246
