case_id,dice_original,dice_enhanced,delta
test_1,0.6996974281386538,0.7281240854545448,0.028426657315891002
test_10,0.8878064490153826,0.8877188783850314,-8.757063035125245e-05
test_100,0.5855691288956584,0.5972417675200691,0.011672638624410703
test_101,0.917015188200956,0.9291258614429241,0.012110673241968128
test_102,0.8789023089559601,0.8825511019753105,0.0036487930193503937
test_103,0.41352599433903353,0.42469943800211657,0.011173443663083038
test_104,0.890115188855671,0.8899219835412578,-0.00019320531441313626
test_105,0.6301805382078857,0.6376268195850034,0.0074462813771177805
test_106,0.7584152517125161,0.7584152517125161,0.0
test_107,0.46084213413734626,0.4787969109870224,0.017954776849676113
test_108,0.8518753973290402,0.8365315546425484,-0.015343842686491804
test_109,0.8404184656253401,0.8351738915437323,-0.005244574081607722
test_11,0.7864728898822496,0.7920645905417337,0.005591700659484111
test_110,0.6977900945067165,0.7045951859951263,0.006805091488409798
test_111,0.5213200934571827,0.5378951927233465,0.01657509926616385
test_112,0.8138528138522633,0.8206576558396741,0.006804841987410826
test_113,0.7949708399600128,0.7975552705041895,0.0025844305441766746
test_114,0.6686370658959705,0.6831281026363979,0.014491036740427399
test_115,0.7028052311064162,0.7098231827105012,0.0070179516040849155
test_116,0.3144250871075757,0.3181312569517267,0.0037061698441510083
test_117,0.801875868457155,0.7921039196773543,-0.009771948779800699
test_118,0.6825135921093912,0.684080217874865,0.0015666257654737281
test_119,0.817382482244828,0.818736930154062,0.0013544479092340023
test_12,0.6724289481384816,0.6885154061615006,0.016086458023019
test_120,0.6100846805228924,0.6114048338362807,0.0013201533133883059
test_121,0.813623462629493,0.8157226774959636,0.002099214866470578
test_122,0.8594289300268914,0.8637564082633777,0.004327478236486382
test_123,0.7880039117670454,0.7862083643707712,-0.0017955473962741886
test_124,0.7785454731558531,0.7788554308633632,0.0003099577075100779
test_125,0.7631876839475172,0.7654486534799805,0.0022609695324632417
test_126,0.8651374654300567,0.861932354129939,-0.003205111300117691
test_127,0.9164775796861607,0.9091298069204101,-0.007347772765750604
test_128,0.7146609752087385,0.7130805143740575,-0.0015804608346809967
test_129,0.5514094834600759,0.5506916192017076,-0.0007178642583682837
test_13,0.7456884497060009,0.7449422632791016,-0.0007461864268992757
test_130,0.7845090314425093,0.7879325643297885,0.003423532887279257
test_131,0.8591518347609616,0.849181269749462,-0.009970565011499621
