case_id,dice_original,dice_thr0.08_cap5000,precision_added_thr0.08_cap5000,dice_thr0.05_cap20000,precision_added_thr0.05_cap20000
test_1,0.6996974281386538,0.7281240854545448,0.7834821428571429,0.7324656543740184,0.7213114754098361
test_10,0.8878064490153826,0.8877188783850314,0.4391304347826087,0.8856451548923543,0.37027027027027026
test_100,0.5855691288956584,0.5972417675200691,0.7125506072874493,0.6022873082283948,0.6609336609336609
test_101,0.917015188200956,0.9291258614429241,0.9935897435897436,0.9260301652587674,0.7324561403508771
test_102,0.8789023089559601,0.8825511019753105,0.629080118694362,0.8846874467720194,0.6299065420560748
test_103,0.41352599433903353,0.42469943800211657,0.3312202852614897,0.42921538244792984,0.35103626943005184
test_104,0.890115188855671,0.8899219835412578,0.40816326530612246,0.8878365435772652,0.27906976744186046
test_105,0.6301805382078857,0.6376268195850034,0.4444444444444444,0.641813821669587,0.4604904632152589
test_106,0.7584152517125161,0.7584152517125161,,0.7602259695022893,0.8636363636363636
test_107,0.46084213413734626,0.4787969109870224,0.9666666666666667,0.5039808917190765,0.8938775510204081
test_108,0.8518753973290402,0.8365315546425484,0.18241042345276873,0.8357571443091266,0.22531645569620254
test_109,0.8404184656253401,0.8351738915437323,0.06666666666666667,0.8301331808147477,0.09743589743589744
test_11,0.7864728898822496,0.7920645905417337,0.6859903381642513,0.7918804985333615,0.5589887640449438
test_110,0.6977900945067165,0.7045951859951263,0.8617021276595744,0.6988251554936428,0.3677581863979849
test_111,0.5213200934571827,0.5378951927233465,0.9873417721518988,0.5555239179946533,0.9431818181818182
test_112,0.8138528138522633,0.8206576558396741,0.9885057471264368,0.823458525807844,0.8758169934640523
test_113,0.7949708399600128,0.7975552705041895,0.74,0.7966976264184014,0.4297520661157025
test_114,0.6686370658959705,0.6831281026363979,0.5144230769230769,0.6896638549662031,0.5015015015015015
test_115,0.7028052311064162,0.7098231827105012,0.5705521472392638,0.7120093276324212,0.5236363636363637
test_116,0.3144250871075757,0.3181312569517267,0.9411764705882353,0.31843420321999105,0.6551724137931034
test_117,0.801875868457155,0.7921039196773543,0.15966386554621848,0.7906609519508286,0.18478260869565216
test_118,0.6825135921093912,0.684080217874865,0.378698224852071,0.6835443037966363,0.3550488599348534
test_119,0.817382482244828,0.818736930154062,0.47244094488188976,0.8194029850739474,0.46120689655172414
test_12,0.6724289481384816,0.6885154061615006,0.5191082802547771,0.6916712630988807,0.5
test_120,0.6100846805228924,0.6114048338362807,0.34,0.6079220900827719,0.26480836236933797
test_121,0.813623462629493,0.8157226774959636,0.7083333333333334,0.817906574393874,0.6335877862595419
test_122,0.8594289300268914,0.8637564082633777,0.6507936507936508,0.8651564185531435,0.591304347826087
test_123,0.7880039117670454,0.7862083643707712,0.35051546391752575,0.7826906957242428,0.3196480938416422
test_124,0.7785454731558531,0.7788554308633632,0.4090909090909091,0.7762036803626033,0.3108108108108108
test_125,0.7631876839475172,0.7654486534799805,0.46956521739130436,0.7623674911652358,0.36486486486486486
test_126,0.8651374654300567,0.861932354129939,0.16591928251121077,0.8615955074291691,0.23582089552238805
test_127,0.9164775796861607,0.9091298069204101,0.09090909090909091,0.8958596048755275,0.08237547892720307
test_128,0.7146609752087385,0.7130805143740575,0.0,0.7118560915775045,0.0
test_129,0.5514094834600759,0.5506916192017076,0.0,0.5684176912013916,0.6984126984126984
test_13,0.7456884497060009,0.7449422632791016,0.33163265306122447,0.7451956311347319,0.3510204081632653
test_130,0.7845090314425093,0.7879325643297885,0.7183098591549296,0.7980382109652302,0.8365384615384616
test_131,0.8591518347609616,0.849181269749462,0.17343173431734318,0.8483166061635359,0.23737373737373738
test_132,0.7249851788414959,0.7249640005231542,0.36082474226804123,0.7229826619731958,0.2670807453416149
test_133,0.8462677098747905,0.8431909071769926,0.09090909090909091,0.8429448496610993,0.19858156028368795
test_134,0.7414438914255521,0.741915740079189,0.41025641025641024,0.7417359561951218,0.3829787234042553
test_135,0.6880176697951502,0.6905613434919214,0.43243243243243246,0.6908361616779614,0.4076655052264808
test_136,0.7864086021498611,0.7936697013521707,0.7265625,0.7940379403787313,0.639344262295082
test_137,0.7309157145219692,0.720378387044765,0.1994949494949495,0.7225350995475837,0.2655954631379962
test_138,0.8126883160354764,0.8102614539785179,0.34782608695652173,0.8093574851752016,0.349862258953168
test_139,0.8992182903245362,0.8840591686630161,0.0,0.8787632221310994,0.1297709923664122
test_14,0.7978516888826207,0.8032628942123429,0.7652173913043478,0.8020713463746311,0.574468085106383
test_140,0.7198131114020736,0.7259684361539083,0.5371900826446281,0.7360204371264036,0.649746192893401
test_141,0.8760673028623329,0.8748909657315421,0.36065573770491804,0.8713862120083572,0.2923076923076923
test_142,0.4187958883990026,0.4428079571533638,0.7302904564315352,0.44883610451263767,0.7193548387096774
test_143,0.8957475994509192,0.8960156316366935,0.46261682242990654,0.8949837298732641,0.4208955223880597
test_144,0.8743707829062469,0.8744181069073388,0.4666666666666667,0.8764293618586307,0.5016501650165016
