case_id,dice_original,dice_window,dice_raster
test_1,0.6996974281386538,0.7062142698042124,0.7033809166035286
test_10,0.8878064490153826,0.8832259871181009,0.8858209254722134
test_100,0.5855691288956584,0.5886090310865733,0.5863207010352871
test_101,0.917015188200956,0.9181505092687636,0.9175832233458588
test_102,0.8789023089559601,0.8779527559052615,0.8789680829667963
test_103,0.41352599433903353,0.430589242402318,0.4228705813181282
test_104,0.890115188855671,0.8903970501785441,0.8908614512588146
test_105,0.6301805382078857,0.6303585567239959,0.6304114085220811
test_106,0.7584152517125161,0.7585209140033367,0.7585209140033367
test_107,0.46084213413734626,0.4566309216771323,0.4607789358194449
test_108,0.8518753973290402,0.8500475536290287,0.8512755372066779
test_109,0.8404184656253401,0.8370364252078656,0.8390195428943035
test_11,0.7864728898822496,0.7793470286129955,0.785081412069961
test_110,0.6977900945067165,0.6889502762426181,0.6945771284063679
test_111,0.5213200934571827,0.5322510508761672,0.5236915002179273
test_112,0.8138528138522633,0.8118560149867443,0.8146249325412745
test_113,0.7949708399600128,0.7935721258535754,0.7953446191045984
test_114,0.6686370658959705,0.675333333332883,0.6732593879455611
test_115,0.7028052311064162,0.706662706662007,0.7051345714562467
test_116,0.3144250871075757,0.3144250871075757,0.3144250871075757
test_117,0.801875868457155,0.7976593425501706,0.8003918404974066
test_118,0.6825135921093912,0.6739917592699788,0.6798488664978843
test_119,0.817382482244828,0.8152908772215881,0.8188631578940472
test_12,0.6724289481384816,0.6724289481384816,0.6724289481384816
test_120,0.6100846805228924,0.6076216009186062,0.609456083028436
test_121,0.813623462629493,0.8167818077138623,0.8169830459347797
test_122,0.8594289300268914,0.8557632398740564,0.8594679186215032
test_123,0.7880039117670454,0.7833225318634873,0.7847635537271023
test_124,0.7785454731558531,0.7779651489596924,0.7781015181716617
test_125,0.7631876839475172,0.7533162412208746,0.7624745992314715
test_126,0.8651374654300567,0.8661775455502976,0.8656117914812872
test_127,0.9164775796861607,0.9103389103384222,0.9147353670362646
test_128,0.7146609752087385,0.696402877697285,0.7093884862790413
test_129,0.5514094834600759,0.5514094834600759,0.5514094834600759
test_13,0.7456884497060009,0.7458209509654783,0.7454520076300444
test_130,0.7845090314425093,0.7856083086050498,0.7847490347487434
test_131,0.8591518347609616,0.8576645001089186,0.8590034389398851
test_132,0.7249851788414959,0.7249851788414959,0.7249851788414959
test_133,0.8462677098747905,0.8462677098747905,0.8462677098747905
test_134,0.7414438914255521,0.7416675212794884,0.7417435897432093
test_135,0.6880176697951502,0.6841857546276402,0.6875295601444997
test_136,0.7864086021498611,0.7850101971441323,0.7874582369564058
test_137,0.7309157145219692,0.723796265967604,0.7282993982356243
test_138,0.8126883160354764,0.8122147539616528,0.8136666666659885
test_139,0.8992182903245362,0.8984388114815356,0.8991010669571543
test_14,0.7978516888826207,0.79154117270055,0.7973130086546975
test_140,0.7198131114020736,0.7102110667417139,0.7230948225702107
test_141,0.8760673028623329,0.8714169737083173,0.8741464636967523
test_142,0.4187958883990026,0.4389305635694951,0.42585921526586906
test_143,0.8957475994509192,0.89579493334438,0.89579493334438
test_144,0.8743707829062469,0.876887774160373,0.8750468239948226
test_145,0.6664440734553145,0.667111229660798,0.6662661860895299
test_146,0.06297592097126369,0.06488011283484811,0.06554040301228264
test_147,0.5756050338816188,0.5783410138246071,0.5775566397755773
test_148,0.7051792828681245,0.7025586945658531,0.7045287913819274
test_149,0.8389548199037898,0.841113756339488,0.8406564869633112
test_15,0.565456792897443,0.5803869246157656,0.5718120805362731
