config_name,stage,f_i,f1,f2,f3,f4,f5,bottlenecks_per_stage,decoder_type,ops_flags,quant_bits,params,flops,bops,dice,dice_binary,dice_LAD,dice_RCA,dice_LCX,dice_LM,cldice,cldice_LAD,cldice_RCA,cldice_LCX,cldice_LM,n_components,epochs,converged_flag,seed,mem_elements
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage3_0,experiment_s19_prune_stage3_0,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage3.0",32.0,29763.0,764018688.0,,0.7884729147050897,0.7278889050309844,0.685456065387165,0.9023354271457644,0.7826184048825284,0.7834817614049008,0.7952040131545435,0.699032157827743,0.905077504826784,0.7851075037896498,0.7915988861739971,5.71,141.0,,0.0,148352.0
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage3_5,experiment_s19_prune_stage3_5,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage3.5",32.0,29763.0,764018688.0,,0.7824369765051964,0.7303035677742732,0.6905099880095309,0.9108447091171324,0.7966387276454288,0.7317544812486939,0.7912676957093638,0.7072127995558349,0.9124852776377405,0.7999249979124127,0.7454477077314674,5.863333333333333,141.0,,0.0,148352.0
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage3_6,experiment_s19_prune_stage3_6,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage3.6",32.0,29763.0,764018688.0,,0.7764001847332682,0.7311781969426728,0.6730299042792987,0.9103104015422548,0.7752377552591168,0.7470226778524023,0.7855330942322125,0.6902114066291083,0.9149350341636052,0.7785646249072418,0.7584213112288951,6.266666666666667,141.0,,0.0,148352.0
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage3_11,experiment_s19_prune_stage3_11,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage3.11",32.0,29763.0,764018688.0,,0.7448625975222364,0.7260654335244917,0.6123760010571618,0.9035696556617115,0.7000849662196269,0.7634197671504453,0.7497785355482188,0.6205066959286555,0.9053171130680384,0.7009030392675227,0.7723872939286585,8.206666666666667,141.0,,0.0,148352.0
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage2_1,experiment_s19_prune_stage2_1,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage2.1",32.0,29939.0,769261568.0,,0.7801432119753374,0.7270694871666381,0.6757511996490534,0.9106125010618364,0.8046436857561496,0.7295654614343103,0.7897969203290499,0.693026471129883,0.914682311231548,0.808126749303872,0.7433521496508967,5.9366666666666665,141.0,,0.0,147296.0
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage2_2,experiment_s19_prune_stage2_2,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage2.2",32.0,29939.0,769261568.0,,0.7729753910875361,0.7313261679444473,0.6853495477523118,0.8863877721922664,0.7739613547622262,0.7462028896433401,0.7807888225738427,0.7020329185773868,0.8883540944385045,0.7754214231970669,0.7573468540824128,6.456666666666667,141.0,,0.0,145216.0
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage2_3,experiment_s19_prune_stage2_3,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage2.3",32.0,29939.0,769261568.0,,0.7775280169895288,0.724686901467041,0.6887193877089902,0.8784249307937908,0.7814333489380155,0.7615344005173186,0.7840422304838098,0.7037475362164677,0.8807409224220064,0.7835630096720385,0.7681174536247269,5.64,141.0,,0.0,141056.0
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage2_4,experiment_s19_prune_stage2_4,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage2.4",32.0,29939.0,769261568.0,,0.7099851273287954,0.69792617525414,0.6519826633097952,0.7683120178272365,0.724117158285252,0.6955286698928977,0.7163839283078058,0.6637613065430281,0.768729859414108,0.7265667374298378,0.7064778098442496,6.85,141.0,,0.0,132736.0
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage2_7,experiment_s19_prune_stage2_7,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage2.7",32.0,29939.0,769261568.0,,0.7583305731652847,0.7219924876425681,0.6708466175969099,0.8680837684250594,0.8067193110295134,0.6876725956096564,0.7658094810238767,0.6819883737905895,0.8698534070925873,0.8111284286114864,0.7002677146008437,7.52,141.0,,0.0,147296.0
nnUNetTrainerENet_19_reginterleaved_separable_nonneg_block_double_mid_prune_stage2_8,experiment_s19_prune_stage2_8,4.0,16.0,32.0,32.0,16.0,4.0,"4,12,12,2,1",upsample_conv,"dilated=1,asymmetric=0,strided=1,dsc=0,context_pattern=dense_dilation_reg_interleaved_double_mid,prelu=1,prelu_variant=nonneg_block,leaky_slope=None,leaky_slope_map=None,shallow_dilation=0,separable_dilated=1,merge_dilated_pairs=0,dsc_dilated_only=0,double_projections=0,two_block_skip=0,dsc_no_projection=0,shallow_dilation_wide=0,shallow_dilation_dense=0,dsc_no_projection_context_only=0,reg_bookend_dsc=0,merge_reg_boundary=0,pruned_blocks=stage2.8",32.0,29939.0,769261568.0,,0.7719540046124596,0.726433685272891,0.6758991190069633,0.8780651143728178,0.7732199365355198,0.7606318485345376,0.7795754138886379,0.6920583990721378,0.8791531187216693,0.7760120380790696,0.7710780996816746,6.59,141.0,,0.0,145216.0
