seq,layer,stage,op_type,cin,hin,win,cout,hout,wout,kh,kw,sh,sw,dh,dw,A,W,Q,P,M,total_pe,total_simd_lanes,swu_bram18,wm_bram18,swu_lut,mvu_lut,mp_lut,total_lut,note
122,stage2.5.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,8,8,8,8,288,32,1,32,9216,144,2048,426,649106,0,649532,
125,stage2.5.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
129,stage2.6.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
132,stage2.6.conv.0,stage2,Conv2d,32,64,64,32,64,64,5,1,1,1,1,1,8,8,160,32,1,32,5120,48,1152,426,360748,0,361174,
135,stage2.6.conv.3,stage2,Conv2d,32,64,64,32,64,64,1,5,1,1,1,1,8,8,160,32,1,32,5120,16,1152,426,360748,0,361174,
138,stage2.6.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
142,stage2.7.reduce.0,stage2,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
145,stage2.7.conv,stage2,Conv2d,32,64,64,32,64,64,3,3,1,1,16,16,8,8,288,32,1,32,9216,272,2048,426,649106,0,649532,
148,stage2.7.expand.0,stage2,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
152,stage3.0.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
155,stage3.0.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,1,32,9216,32,2048,426,649106,0,649532,
158,stage3.0.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
162,stage3.1.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
165,stage3.1.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,2,2,8,8,288,32,1,32,9216,48,2048,426,649106,0,649532,
168,stage3.1.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
172,stage3.2.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
175,stage3.2.conv.0,stage3,Conv2d,32,64,64,32,64,64,5,1,1,1,1,1,8,8,160,32,1,32,5120,48,1152,426,360748,0,361174,
178,stage3.2.conv.3,stage3,Conv2d,32,64,64,32,64,64,1,5,1,1,1,1,8,8,160,32,1,32,5120,16,1152,426,360748,0,361174,
181,stage3.2.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
185,stage3.3.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
188,stage3.3.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,4,4,8,8,288,32,1,32,9216,80,2048,426,649106,0,649532,
191,stage3.3.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
195,stage3.4.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
198,stage3.4.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,1,1,8,8,288,32,1,32,9216,32,2048,426,649106,0,649532,
201,stage3.4.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
205,stage3.5.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
208,stage3.5.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,8,8,8,8,288,32,1,32,9216,144,2048,426,649106,0,649532,
211,stage3.5.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
215,stage3.6.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
218,stage3.6.conv.0,stage3,Conv2d,32,64,64,32,64,64,5,1,1,1,1,1,8,8,160,32,1,32,5120,48,1152,426,360748,0,361174,
221,stage3.6.conv.3,stage3,Conv2d,32,64,64,32,64,64,1,5,1,1,1,1,8,8,160,32,1,32,5120,16,1152,426,360748,0,361174,
224,stage3.6.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
228,stage3.7.reduce.0,stage3,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
231,stage3.7.conv,stage3,Conv2d,32,64,64,32,64,64,3,3,1,1,16,16,8,8,288,32,1,32,9216,272,2048,426,649106,0,649532,
234,stage3.7.expand.0,stage3,Conv2d,32,64,64,128,64,64,1,1,1,1,1,1,8,8,32,128,1,128,4096,16,1024,426,288658,0,289084,
238,up4.main_proj.0,up4,Conv2d,128,64,64,64,64,64,1,1,1,1,1,1,8,8,128,64,1,64,8192,58,1856,426,577017,0,577443,
240,up4.reduce.0,up4,Conv2d,128,64,64,32,64,64,1,1,1,1,1,1,8,8,128,32,1,32,4096,58,928,426,288658,0,289084,
