alpha,status,avg_weight_bits,avg_act_bits,lut_pct_of_budget,bram_pct_of_budget,total_cycles,latency_ms_at_100mhz,n_binary_vars,n_layers
0.0,Optimal,4.115384615384615,4.0,69.9802582756167,26.629429275614882,4214784,42.14784,45387,104
0.25,Optimal,5.423076923076923,5.519230769230769,69.94697605015408,36.72058142216369,7327744,73.27744,45387,104
0.5,Optimal,5.8076923076923075,5.980769230769231,69.97106187121264,37.779529486924986,8818688,88.18688,45387,104
0.75,Optimal,6.5,6.5,69.9614275427892,39.11878733353487,10571776,105.71776,45387,104
1.0,Optimal,7.653846153846154,7.423076923076923,69.94916567025011,35.16330485633825,16420864,164.20864,45387,104
