node_name,op_type,PE,SIMD,parallel_window,mac_count,bop_count,param_memory_bits,param_memory_Mbits,swu_buffer_bits,swu_buffer_Mbits,exp_cycles,BRAM_18K,LUT,DSP
FMPadding_rtl_22,FMPadding_rtl,,36,,0,0,0,0.0,,,9216,0,0,0
ConvolutionInputGenerator_rtl_24,ConvolutionInputGenerator_rtl,,36,0,0,0,0,0.0,894240,0.89424,39969,0,23916,0
MVAU_rtl_67,MVAU_rtl,1,1,,47775744,3057647616,93312,0.093312,,,47775744,6,0,1
Thresholding_rtl_88,Thresholding_rtl,1,,,0,0,0,0.0,,,147456,0,3358.0,0
MVAU_rtl_68,MVAU_rtl,1,1,,21233664,1358954496,41472,0.041472,,,21233664,3,0,1
Thresholding_rtl_89,Thresholding_rtl,1,,,0,0,0,0.0,,,589824,0,11500.0,0
AddStreams_hls_21,AddStreams_hls,1,,,0,0,0,0.0,,,589824,0,0,0
Thresholding_rtl_90,Thresholding_rtl,1,,,0,0,0,0.0,,,589824,0,2583.0,0
DuplicateStreams_hls_22,DuplicateStreams_hls,1,,,0,0,0,0.0,,,589824,0,0,0
FMPadding_Pixel_hls_0,FMPadding_Pixel_hls,,1,,0,0,0,0.0,,,2322576,0,0,0
MVAU_rtl_69,MVAU_rtl,1,1,,21233664,1358954496,41472,0.041472,,,21233664,3,0,1
FMPadding_rtl_23,FMPadding_rtl,,144,,0,0,0,0.0,,,16641,0,0,0
Thresholding_rtl_91,Thresholding_rtl,1,,,0,0,0,0.0,,,147456,0,3212.0,0
ConvolutionInputGenerator_rtl_25,ConvolutionInputGenerator_rtl,,144,0,0,0,0,0.0,150912,0.150912,65667,0,4908,0
FMPadding_Pixel_hls_1,FMPadding_Pixel_hls,,1,,0,0,0,0.0,,,580644,0,0,0
MVAU_rtl_70,MVAU_rtl,1,1,,679477248,43486543872,331776,0.331776,,,679477248,21,0,1
FMPadding_rtl_24,FMPadding_rtl,,36,,0,0,0,0.0,,,16641,0,0,0
Thresholding_rtl_92,Thresholding_rtl,1,,,0,0,0,0.0,,,1179648,0,6936.0,0
ConvolutionInputGenerator_rtl_26,ConvolutionInputGenerator_rtl,,36,0,0,0,0,0.0,37728,0.037728,65667,0,1452,0
MVAU_rtl_71,MVAU_rtl,1,1,,84934656,5435817984,41472,0.041472,,,84934656,3,0,1
Thresholding_rtl_93,Thresholding_rtl,1,,,0,0,0,0.0,,,589824,0,3212.0,0
MVAU_rtl_72,MVAU_rtl,1,1,,42467328,2717908992,20736,0.020736,,,42467328,2,0,1
Thresholding_rtl_94,Thresholding_rtl,1,,,0,0,0,0.0,,,1179648,0,5780.0,0
AddStreams_hls_22,AddStreams_hls,1,,,0,0,0,0.0,,,1179648,0,0,0
Thresholding_rtl_95,Thresholding_rtl,1,,,0,0,0,0.0,,,1179648,0,2601.0,0
DuplicateStreams_hls_23,DuplicateStreams_hls,1,,,0,0,0,0.0,,,1179648,0,0,0
MVAU_rtl_73,MVAU_rtl,1,1,,21233664,1358954496,10368,0.010368,,,21233664,1,0,1
Thresholding_rtl_96,Thresholding_rtl,1,,,0,0,0,0.0,,,294912,0,1575.0,0
FMPadding_rtl_25,FMPadding_rtl,,18,,0,0,0,0.0,,,16900,0,0,0
ConvolutionInputGenerator_rtl_27,ConvolutionInputGenerator_rtl,,18,0,0,0,0,0.0,37872,0.037872,147719,0,1308,0
MVAU_rtl_74,MVAU_rtl,1,1,,47775744,3057647616,23328,0.023328,,,47775744,2,0,1
Thresholding_rtl_97,Thresholding_rtl,1,,,0,0,0,0.0,,,294912,0,1650.0,0
MVAU_rtl_75,MVAU_rtl,1,1,,21233664,1358954496,10368,0.010368,,,21233664,1,0,1
Thresholding_rtl_98,Thresholding_rtl,1,,,0,0,0,0.0,,,1179648,0,5780.0,0
AddStreams_hls_23,AddStreams_hls,1,,,0,0,0,0.0,,,1179648,0,0,0
Thresholding_rtl_99,Thresholding_rtl,1,,,0,0,0,0.0,,,1179648,0,2601.0,0
DuplicateStreams_hls_24,DuplicateStreams_hls,1,,,0,0,0,0.0,,,1179648,0,0,0
MVAU_rtl_76,MVAU_rtl,1,1,,21233664,1358954496,10368,0.010368,,,21233664,1,0,1
Thresholding_rtl_100,Thresholding_rtl,1,,,0,0,0,0.0,,,294912,0,1575.0,0
FMPadding_rtl_26,FMPadding_rtl,,18,,0,0,0,0.0,,,16900,0,0,0
ConvolutionInputGenerator_rtl_28,ConvolutionInputGenerator_rtl,,18,0,0,0,0,0.0,37872,0.037872,147719,0,1308,0
MVAU_rtl_77,MVAU_rtl,1,1,,47775744,3057647616,23328,0.023328,,,47775744,2,0,1
Thresholding_rtl_101,Thresholding_rtl,1,,,0,0,0,0.0,,,294912,0,1650.0,0
MVAU_rtl_78,MVAU_rtl,1,1,,21233664,1358954496,10368,0.010368,,,21233664,1,0,1
Thresholding_rtl_102,Thresholding_rtl,1,,,0,0,0,0.0,,,1179648,0,5780.0,0
AddStreams_hls_24,AddStreams_hls,1,,,0,0,0,0.0,,,1179648,0,0,0
Thresholding_rtl_103,Thresholding_rtl,1,,,0,0,0,0.0,,,1179648,0,2601.0,0
DuplicateStreams_hls_25,DuplicateStreams_hls,1,,,0,0,0,0.0,,,1179648,0,0,0
FMPadding_Pixel_hls_2,FMPadding_Pixel_hls,,1,,0,0,0,0.0,,,4681800,0,0,0
MVAU_rtl_79,MVAU_rtl,1,1,,21233664,1358954496,10368,0.010368,,,21233664,1,0,1
FMPadding_rtl_27,FMPadding_rtl,,72,,0,0,0,0.0,,,66049,0,0,0
Thresholding_rtl_104,Thresholding_rtl,1,,,0,0,0,0.0,,,294912,0,1575.0,0
ConvolutionInputGenerator_rtl_29,ConvolutionInputGenerator_rtl,,72,0,0,0,0,0.0,149184,0.149184,262403,0,4332,0
FMPadding_Pixel_hls_3,FMPadding_Pixel_hls,,1,,0,0,0,0.0,,,1170450,0,0,0
MVAU_rtl_80,MVAU_rtl,1,1,,377487360,24159191040,46080,0.04608,,,377487360,3,0,1
FMPadding_rtl_28,FMPadding_rtl,,18,,0,0,0,0.0,,,66049,0,0,0
Thresholding_rtl_105,Thresholding_rtl,1,,,0,0,0,0.0,,,1310720,0,1886.0,0
ConvolutionInputGenerator_rtl_30,ConvolutionInputGenerator_rtl,,18,0,0,0,0,0.0,37296,0.037296,262403,0,1308,0
MVAU_rtl_81,MVAU_rtl,1,1,,84934656,5435817984,10368,0.010368,,,84934656,1,0,1
Thresholding_rtl_106,Thresholding_rtl,1,,,0,0,0,0.0,,,1179648,0,1575.0,0
MVAU_rtl_82,MVAU_rtl,1,1,,23592960,1509949440,2880,0.00288,,,23592960,1,0,1
