seq,layer,stage,block_index,type,kernel,stride,padding,dilation,groups,bias,in_shape_chw,out_shape_chw,params,macs
186,stage3.3.reduce.1,stage3,3,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
187,stage3.3.reduce.2,stage3,3,ReLU,,,,,,,32x64x64,32x64x64,0,0
188,stage3.3.conv,stage3,3,Conv2d,3x3,1x1,4x4,4x4,1,False,32x64x64,32x64x64,9216,37748736
189,stage3.3.conv_bn_act.1,stage3,3,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
190,stage3.3.conv_bn_act.2,stage3,3,ReLU,,,,,,,32x64x64,32x64x64,0,0
191,stage3.3.expand.0,stage3,3,Conv2d,1x1,1x1,0x0,1x1,1,False,32x64x64,128x64x64,4096,16777216
192,stage3.3.expand.1,stage3,3,BatchNorm2d,,,,,,,128x64x64,128x64x64,256,0
193,stage3.3.dropout,stage3,3,Dropout2d,,,,,,,128x64x64,128x64x64,0,0
194,stage3.3.out_act,stage3,3,ReLU,,,,,,,128x64x64,128x64x64,0,0
195,stage3.4.reduce.0,stage3,4,Conv2d,1x1,1x1,0x0,1x1,1,False,128x64x64,32x64x64,4096,16777216
196,stage3.4.reduce.1,stage3,4,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
197,stage3.4.reduce.2,stage3,4,ReLU,,,,,,,32x64x64,32x64x64,0,0
198,stage3.4.conv,stage3,4,Conv2d,3x3,1x1,1x1,1x1,1,False,32x64x64,32x64x64,9216,37748736
199,stage3.4.conv_bn_act.1,stage3,4,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
200,stage3.4.conv_bn_act.2,stage3,4,ReLU,,,,,,,32x64x64,32x64x64,0,0
201,stage3.4.expand.0,stage3,4,Conv2d,1x1,1x1,0x0,1x1,1,False,32x64x64,128x64x64,4096,16777216
202,stage3.4.expand.1,stage3,4,BatchNorm2d,,,,,,,128x64x64,128x64x64,256,0
203,stage3.4.dropout,stage3,4,Dropout2d,,,,,,,128x64x64,128x64x64,0,0
204,stage3.4.out_act,stage3,4,ReLU,,,,,,,128x64x64,128x64x64,0,0
205,stage3.5.reduce.0,stage3,5,Conv2d,1x1,1x1,0x0,1x1,1,False,128x64x64,32x64x64,4096,16777216
206,stage3.5.reduce.1,stage3,5,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
207,stage3.5.reduce.2,stage3,5,ReLU,,,,,,,32x64x64,32x64x64,0,0
208,stage3.5.conv,stage3,5,Conv2d,3x3,1x1,8x8,8x8,1,False,32x64x64,32x64x64,9216,37748736
209,stage3.5.conv_bn_act.1,stage3,5,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
210,stage3.5.conv_bn_act.2,stage3,5,ReLU,,,,,,,32x64x64,32x64x64,0,0
211,stage3.5.expand.0,stage3,5,Conv2d,1x1,1x1,0x0,1x1,1,False,32x64x64,128x64x64,4096,16777216
212,stage3.5.expand.1,stage3,5,BatchNorm2d,,,,,,,128x64x64,128x64x64,256,0
213,stage3.5.dropout,stage3,5,Dropout2d,,,,,,,128x64x64,128x64x64,0,0
214,stage3.5.out_act,stage3,5,ReLU,,,,,,,128x64x64,128x64x64,0,0
215,stage3.6.reduce.0,stage3,6,Conv2d,1x1,1x1,0x0,1x1,1,False,128x64x64,32x64x64,4096,16777216
216,stage3.6.reduce.1,stage3,6,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
217,stage3.6.reduce.2,stage3,6,ReLU,,,,,,,32x64x64,32x64x64,0,0
218,stage3.6.conv.0,stage3,6,Conv2d,5x1,1x1,2x0,1x1,1,False,32x64x64,32x64x64,5120,20971520
219,stage3.6.conv.1,stage3,6,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
220,stage3.6.conv.2,stage3,6,ReLU,,,,,,,32x64x64,32x64x64,0,0
221,stage3.6.conv.3,stage3,6,Conv2d,1x5,1x1,0x2,1x1,1,False,32x64x64,32x64x64,5120,20971520
222,stage3.6.conv_bn_act.1,stage3,6,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
223,stage3.6.conv_bn_act.2,stage3,6,ReLU,,,,,,,32x64x64,32x64x64,0,0
224,stage3.6.expand.0,stage3,6,Conv2d,1x1,1x1,0x0,1x1,1,False,32x64x64,128x64x64,4096,16777216
225,stage3.6.expand.1,stage3,6,BatchNorm2d,,,,,,,128x64x64,128x64x64,256,0
226,stage3.6.dropout,stage3,6,Dropout2d,,,,,,,128x64x64,128x64x64,0,0
227,stage3.6.out_act,stage3,6,ReLU,,,,,,,128x64x64,128x64x64,0,0
228,stage3.7.reduce.0,stage3,7,Conv2d,1x1,1x1,0x0,1x1,1,False,128x64x64,32x64x64,4096,16777216
229,stage3.7.reduce.1,stage3,7,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
230,stage3.7.reduce.2,stage3,7,ReLU,,,,,,,32x64x64,32x64x64,0,0
231,stage3.7.conv,stage3,7,Conv2d,3x3,1x1,16x16,16x16,1,False,32x64x64,32x64x64,9216,37748736
232,stage3.7.conv_bn_act.1,stage3,7,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
233,stage3.7.conv_bn_act.2,stage3,7,ReLU,,,,,,,32x64x64,32x64x64,0,0
234,stage3.7.expand.0,stage3,7,Conv2d,1x1,1x1,0x0,1x1,1,False,32x64x64,128x64x64,4096,16777216
235,stage3.7.expand.1,stage3,7,BatchNorm2d,,,,,,,128x64x64,128x64x64,256,0
236,stage3.7.dropout,stage3,7,Dropout2d,,,,,,,128x64x64,128x64x64,0,0
237,stage3.7.out_act,stage3,7,ReLU,,,,,,,128x64x64,128x64x64,0,0
238,up4.main_proj.0,up4,,Conv2d,1x1,1x1,0x0,1x1,1,False,128x64x64,64x64x64,8192,33554432
239,up4.main_proj.1,up4,,BatchNorm2d,,,,,,,64x64x64,64x64x64,128,0
240,up4.reduce.0,up4,,Conv2d,1x1,1x1,0x0,1x1,1,False,128x64x64,32x64x64,4096,16777216
241,up4.reduce.1,up4,,BatchNorm2d,,,,,,,32x64x64,32x64x64,64,0
242,up4.reduce.2,up4,,ReLU,,,,,,,32x64x64,32x64x64,0,0
243,up4.up.0,up4,,ConvTranspose2d,2x2,2x2,0x0,1x1,1,False,32x64x64,32x128x128,4096,16777216
244,up4.up.1,up4,,BatchNorm2d,,,,,,,32x128x128,32x128x128,64,0
245,up4.up.2,up4,,ReLU,,,,,,,32x128x128,32x128x128,0,0
246,up4.expand.0,up4,,Conv2d,1x1,1x1,0x0,1x1,1,False,32x128x128,64x128x128,2048,33554432
247,up4.expand.1,up4,,BatchNorm2d,,,,,,,64x128x128,64x128x128,128,0
248,up4.dropout,up4,,Dropout2d,,,,,,,64x128x128,64x128x128,0,0
249,up4.out_act,up4,,ReLU,,,,,,,64x128x128,64x128x128,0,0
250,regular4.0.reduce.0,regular4,0,Conv2d,1x1,1x1,0x0,1x1,1,False,64x128x128,16x128x128,1024,16777216
251,regular4.0.reduce.1,regular4,0,BatchNorm2d,,,,,,,16x128x128,16x128x128,32,0
252,regular4.0.reduce.2,regular4,0,ReLU,,,,,,,16x128x128,16x128x128,0,0
253,regular4.0.conv,regular4,0,Conv2d,3x3,1x1,1x1,1x1,1,False,16x128x128,16x128x128,2304,37748736
254,regular4.0.conv_bn_act.1,regular4,0,BatchNorm2d,,,,,,,16x128x128,16x128x128,32,0
255,regular4.0.conv_bn_act.2,regular4,0,ReLU,,,,,,,16x128x128,16x128x128,0,0
256,regular4.0.expand.0,regular4,0,Conv2d,1x1,1x1,0x0,1x1,1,False,16x128x128,64x128x128,1024,16777216
257,regular4.0.expand.1,regular4,0,BatchNorm2d,,,,,,,64x128x128,64x128x128,128,0
258,regular4.0.dropout,regular4,0,Dropout2d,,,,,,,64x128x128,64x128x128,0,0
259,regular4.0.out_act,regular4,0,ReLU,,,,,,,64x128x128,64x128x128,0,0
260,regular4.1.reduce.0,regular4,1,Conv2d,1x1,1x1,0x0,1x1,1,False,64x128x128,16x128x128,1024,16777216
261,regular4.1.reduce.1,regular4,1,BatchNorm2d,,,,,,,16x128x128,16x128x128,32,0
