seq,layer,stage,block_index,type,kernel,stride,padding,dilation,groups,bias,in_shape_chw,out_shape_chw,params,macs
262,regular4.1.reduce.2,regular4,1,ReLU,,,,,,,16x128x128,16x128x128,0,0
263,regular4.1.conv,regular4,1,Conv2d,3x3,1x1,1x1,1x1,1,False,16x128x128,16x128x128,2304,37748736
264,regular4.1.conv_bn_act.1,regular4,1,BatchNorm2d,,,,,,,16x128x128,16x128x128,32,0
265,regular4.1.conv_bn_act.2,regular4,1,ReLU,,,,,,,16x128x128,16x128x128,0,0
266,regular4.1.expand.0,regular4,1,Conv2d,1x1,1x1,0x0,1x1,1,False,16x128x128,64x128x128,1024,16777216
267,regular4.1.expand.1,regular4,1,BatchNorm2d,,,,,,,64x128x128,64x128x128,128,0
268,regular4.1.dropout,regular4,1,Dropout2d,,,,,,,64x128x128,64x128x128,0,0
269,regular4.1.out_act,regular4,1,ReLU,,,,,,,64x128x128,64x128x128,0,0
270,up5.main_proj.0,up5,,Conv2d,1x1,1x1,0x0,1x1,1,False,64x128x128,16x128x128,1024,16777216
271,up5.main_proj.1,up5,,BatchNorm2d,,,,,,,16x128x128,16x128x128,32,0
272,up5.reduce.0,up5,,Conv2d,1x1,1x1,0x0,1x1,1,False,64x128x128,16x128x128,1024,16777216
273,up5.reduce.1,up5,,BatchNorm2d,,,,,,,16x128x128,16x128x128,32,0
274,up5.reduce.2,up5,,ReLU,,,,,,,16x128x128,16x128x128,0,0
275,up5.up.0,up5,,ConvTranspose2d,2x2,2x2,0x0,1x1,1,False,16x128x128,16x256x256,1024,16777216
276,up5.up.1,up5,,BatchNorm2d,,,,,,,16x256x256,16x256x256,32,0
277,up5.up.2,up5,,ReLU,,,,,,,16x256x256,16x256x256,0,0
278,up5.expand.0,up5,,Conv2d,1x1,1x1,0x0,1x1,1,False,16x256x256,16x256x256,256,16777216
279,up5.expand.1,up5,,BatchNorm2d,,,,,,,16x256x256,16x256x256,32,0
280,up5.dropout,up5,,Dropout2d,,,,,,,16x256x256,16x256x256,0,0
281,up5.out_act,up5,,ReLU,,,,,,,16x256x256,16x256x256,0,0
282,regular5.0.reduce.0,regular5,0,Conv2d,1x1,1x1,0x0,1x1,1,False,16x256x256,4x256x256,64,4194304
283,regular5.0.reduce.1,regular5,0,BatchNorm2d,,,,,,,4x256x256,4x256x256,8,0
284,regular5.0.reduce.2,regular5,0,ReLU,,,,,,,4x256x256,4x256x256,0,0
285,regular5.0.conv,regular5,0,Conv2d,3x3,1x1,1x1,1x1,1,False,4x256x256,4x256x256,144,9437184
286,regular5.0.conv_bn_act.1,regular5,0,BatchNorm2d,,,,,,,4x256x256,4x256x256,8,0
287,regular5.0.conv_bn_act.2,regular5,0,ReLU,,,,,,,4x256x256,4x256x256,0,0
288,regular5.0.expand.0,regular5,0,Conv2d,1x1,1x1,0x0,1x1,1,False,4x256x256,16x256x256,64,4194304
289,regular5.0.expand.1,regular5,0,BatchNorm2d,,,,,,,16x256x256,16x256x256,32,0
290,regular5.0.dropout,regular5,0,Dropout2d,,,,,,,16x256x256,16x256x256,0,0
291,regular5.0.out_act,regular5,0,ReLU,,,,,,,16x256x256,16x256x256,0,0
292,final,final,,ConvTranspose2d,2x2,2x2,0x0,1x1,1,True,16x256x256,5x512x512,325,20971520
