view,dice_f1,precision,recall_sensitivity,accuracy
confidence blend,0.5276809000013198,0.41930951596676136,0.7507120274834285,0.9546837615966433
5x5 only,0.5154464747366218,0.42424693803186325,0.6980995629101056,0.9559023412068319
6x6 only,0.5112878426157538,0.419982562344501,0.6882400404986111,0.9555308024088176
OR (6x6 | 5x5),0.4804956254201856,0.353283990113246,0.8025537247461637,0.9410660680134731
