case_id,gt_vessel_px,dice_f1,precision,recall_sensitivity,accuracy
test_56_p0104,38,0.0,0.0,0.0,0.8764196863157431
test_56_p0105,0,0.0,0.0,0.0,0.994938440491115
test_56_p0200,0,0.0,0.0,0.0,0.9999999999986159
test_56_p0201,0,0.0,0.0,0.0,0.9692202462367042
test_56_p0202,266,0.35133079847641574,0.2202097235441353,0.8684210525989315,0.8819377162617551
test_56_p0203,1617,0.8344240837669031,0.8860319666373452,0.7884972170637694,0.9299653979225883
test_56_p0204,898,0.32219365895182356,0.6988847583383314,0.20935412026492925,0.8917920656622548
test_56_p0205,15,0.0,0.0,0.0,0.9939100346007005
test_56_p0300,0,0.0,0.0,0.0,0.9999999999986159
test_56_p0301,0,0.0,0.0,0.0,0.9731874144993528
test_56_p0302,0,0.0,0.0,0.0,0.8971626297565437
test_56_p0303,693,0.7451737451689501,0.6724738675880084,0.8354978354857793,0.9451903114173769
test_56_p0304,903,0.9381615598833529,0.9439461883302248,0.9324473975533505,0.984815321476081
test_56_p0305,0,0.0,0.0,0.0,0.9999999999986159
test_56_p0400,0,0.0,0.0,0.0,0.999999999998632
test_56_p0401,0,0.0,0.0,0.0,0.9568685776082249
test_56_p0402,0,0.0,0.0,0.0,0.8744186046499666
test_56_p0403,0,0.0,0.0,0.0,0.9378932968523421
test_56_p0404,736,0.734520780316077,0.977426636546785,0.5883152173833109,0.9576798269321827
test_56_p0405,453,0.6943699731810407,0.8839590443384314,0.5717439293472021,0.9688098495198785
test_56_p0500,0,0.0,0.0,0.0,0.9986159169536352
test_56_p0501,0,0.0,0.0,0.0,0.999999999998632
test_56_p0502,0,0.0,0.0,0.0,0.9999999999986159
test_56_p0503,0,0.0,0.0,0.0,0.9999999999986159
test_56_p0504,367,0.7215007214903102,0.766871165620648,0.6811989100631826,0.9735978112161784
test_56_p0505,175,0.0,0.0,0.0,0.9755017301024561
test_57_b0000,0,0.0,0.0,0.0,0.9426989619364115
test_57_b0001,1671,0.9156214367134675,0.874251497001229,0.9611011370379349,0.9590311418671847
test_57_b0002,190,0.31310466138686804,0.18796198521448826,0.9368421052138504,0.8919031141856167
test_57_b0003,0,0.0,0.0,0.0,0.8833217993067359
test_57_b0004,0,0.0,0.0,0.0,0.8646366781994953
test_57_b0100,0,0.0,0.0,0.0,0.9861591695488081
test_57_b0101,1130,0.9606087734961477,0.9719202898462689,0.9495575221154907,0.9878200692027851
test_57_b0102,874,0.7932618682961039,0.7161290322514643,0.8890160182964644,0.9439446366768942
test_57_b0103,81,0.24870466319954898,0.21428571426658163,0.29629629625971654,0.9799307958463945
test_57_b0104,0,0.0,0.0,0.0,0.8921799307946129
test_57_b0200,0,0.0,0.0,0.0,0.9092041522478765
test_57_b0201,382,0.29215896884756004,0.24772313296452234,0.356020942399057,0.9087889273343823
test_57_b0202,11,0.0,0.0,0.0,0.9915570934242331
test_57_b0203,916,0.6811352253718357,0.6946651532270753,0.6681222707350641,0.9206920415212171
test_57_b0204,82,0.0,0.0,0.0,0.9377162629744806
test_57_b0300,0,0.0,0.0,0.0,0.9148788927322977
test_57_b0301,0,0.0,0.0,0.0,0.8961937716250572
test_57_b0302,0,0.0,0.0,0.0,0.9540484429052539
test_57_b0303,0,0.0,0.0,0.0,0.9074048442894015
test_57_b0304,235,0.14740368509089277,0.09176225234523709,0.37446808509044816,0.8591003460195722
test_57_b0400,0,0.0,0.0,0.0,0.996678200690662
test_57_b0401,0,0.0,0.0,0.0,0.9202768166077228
test_57_b0402,0,0.0,0.0,0.0,0.9421453287184192
test_57_b0403,0,0.0,0.0,0.0,0.9075432525938996
test_57_b0404,0,0.0,0.0,0.0,0.8955017301025668
test_57_p0000,0,0.0,0.0,0.0,0.9999999999986159
test_57_p0001,304,0.46736045411099947,0.32802124833561724,0.812499999973273,0.9229822161410083
test_57_p0002,811,0.8417071853006931,0.7490384615312593,0.9605425400621388,0.959446366780679
test_57_p0003,0,0.0,0.0,0.0,0.9440830449813923
test_57_p0004,0,0.0,0.0,0.0,0.9563611491094989
test_57_p0005,0,0.0,0.0,0.0,0.9373010380609864
test_57_p0100,0,0.0,0.0,0.0,0.9777017783844354
test_57_p0101,381,0.7356321839003591,0.6111111111005015,0.9238845144114466,0.9657923201717608
test_57_p0102,1421,0.831583041614813,0.9295652173832213,0.7522871217399558,0.9407660738701221
test_57_p0103,121,0.5698630136830174,0.42622950817925287,0.8595041321603716,0.9785225718180869
test_57_p0104,0,0.0,0.0,0.0,0.9279340183870634
test_57_p0105,0,0.0,0.0,0.0,0.9632010943899272
test_57_p0200,0,0.0,0.0,0.0,0.9302422145315844
test_57_p0201,0,0.0,0.0,0.0,0.9414500683981649
test_57_p0202,795,0.8479366873892147,0.7700205338729977,0.9433962264032277,0.9627681660886329
test_57_p0203,961,0.8614232209691738,0.8865638766422185,0.8376690946843115,0.9641522491336136
test_57_p0204,1,0.0,0.0,0.0,0.9746922024610469
test_57_p0205,0,0.0,0.0,0.0,0.962906574393131
test_57_p0300,0,0.0,0.0,0.0,0.9999999999986159
test_57_p0301,0,0.0,0.0,0.0,0.9463748290000734
test_57_p0302,0,0.0,0.0,0.0,0.9105882352928574
test_57_p0303,46,0.0,0.0,0.0,0.9897577854657581
test_57_p0304,716,0.40849194728837124,0.4292307692241657,0.3896648044638315,0.8894664842669091
test_57_p0305,37,0.0,0.0,0.0,0.9721799307945022
test_57_p0400,0,0.0,0.0,0.0,0.9852257181929067
test_57_p0401,0,0.0,0.0,0.0,0.9951325040549012
test_57_p0402,0,0.0,0.0,0.0,0.858139534882547
test_57_p0403,0,0.0,0.0,0.0,0.9957592339247664
test_57_p0404,0,0.0,0.0,0.0,0.9123850730112055
test_57_p0405,0,0.0,0.0,0.0,0.9887824897387294
test_57_p0500,0,0.0,0.0,0.0,0.9849134948083254
test_57_p0501,0,0.0,0.0,0.0,0.999999999998632
test_57_p0502,0,0.0,0.0,0.0,0.9479584775073385
test_57_p0503,0,0.0,0.0,0.0,0.9937716262962024
test_57_p0504,0,0.0,0.0,0.0,0.980984952119041
test_57_p0505,0,0.0,0.0,0.0,0.9429757785454077
test_58_b0000,0,0.0,0.0,0.0,0.9498961937703115
test_58_b0001,1800,0.7240674501769953,0.6702932828728936,0.7872222222178488,0.8505190311406914
test_58_b0002,999,0.0,0.0,0.0,0.7982006920404178
test_58_b0003,0,0.0,0.0,0.0,0.7767474048432156
test_58_b0004,0,0.0,0.0,0.0,0.9349480968845191
test_58_b0100,0,0.0,0.0,0.0,0.9999999999986159
test_58_b0101,0,0.0,0.0,0.0,0.9999999999986159
test_58_b0102,1670,0.6486271388752542,0.9667852906172386,0.4880239520928861,0.8777854671268127
test_58_b0103,539,0.859603789828944,0.802250803845623,0.9257884971998926,0.9774394463654291
test_58_b0104,0,0.0,0.0,0.0,0.9738408304484791
test_58_b0200,0,0.0,0.0,0.0,0.9997231833896197
test_58_b0201,0,0.0,0.0,0.0,0.9818685121093677
test_58_b0202,1389,0.24842370743853454,0.9999999999492385,0.14182865370668232,0.8350173010369065
test_58_b0203,799,0.1166861143510305,0.8620689653686088,0.06257822277768989,0.8952249134935706
