stem,n_patches,oversample_blend_dice,oversample_or_dice,grid_blend_dice,blend_px_outside_coverage,or_px_outside_coverage,blend_minus_grid
test_236,50,0.7521192633727329,0.7037085917904818,0.43448791866536046,0,0,0.3176313447073725
test_108,50,0.7871907297206489,0.7230861643190796,0.43565330114861395,0,0,0.3515374285720349
test_31,50,0.6710816777039199,0.7326555692098713,0.530813755532676,0,0,0.14026792217124395
test_85,50,0.6734470158339382,0.6575633600761609,0.4135051300403987,0,0,0.2599418857935395
test_225,50,0.6665217154967296,0.7131335842413055,0.5283787885355208,0,0,0.13814292696120878
