category,passthrough_dice_f1,refinement_dice_f1,refinement_minus_passthrough
discont,0.6976443843454716,0.7369888519127309,0.03934446756725929
corrupt,0.8430225558497458,0.9080968686885571,0.06507431283881127
empty,0.021893045549873806,0.021861569310841128,-3.14762390326781e-05
