class_id,class_name,tp,fp,fn,dice_f1,precision,recall_sensitivity
0,Background,75493285,869351,561095,0.990614919268594,0.9886154925296187,0.9926224498838855
1,LAD,500787,267823,327057,0.6273741679998257,0.6515488999622611,0.6049291895574456
2,RCA,673662,116850,248726,0.7865748146418309,0.8521844070678136,0.7303455812521332
3,LCX,497994,223448,340594,0.6384415684313722,0.6902758641720237,0.5938482305971395
