class_id,class_name,tp,fp,fn,dice_f1,precision,recall_sensitivity
0,Background,75663085,773763,391295,0.9923598359375793,0.9898770943563762,0.9948550629168232
1,LAD,517230,163363,310614,0.6857827009016573,0.759969614733023,0.6247916274080548
2,RCA,711342,92878,211046,0.8239762586527989,0.8845117007783829,0.7711960693330705
3,LCX,545298,176241,293290,0.699043090722738,0.755742932814432,0.6502573373337008
