class_id,class_name,tp,fp,fn,dice_f1,precision,recall_sensitivity
0,Background,75609569,766662,444811,0.9920522984717289,0.9899620341307492,0.9941514085053351
1,LAD,537488,211720,290356,0.6816363696314346,0.7174082497784231,0.6492624214223858
2,RCA,739145,133481,183243,0.8235534653211573,0.8470352705511771,0.8013384822872717
3,LCX,503906,141229,334682,0.6792453847517315,0.7810861292597552,0.600898176458516
