class_id,class_name,tp,fp,fn,dice_f1,precision,recall_sensitivity,cldice
0,Background,75674202,755811,380178,0.9925501293761914,0.9901110706339927,0.9950012346428961,
1,LAD,514281,155010,313563,0.6870202085984184,0.7683967063653812,0.6212293620537127,0.7005265413565545
2,RCA,739233,100234,183155,0.8391530517551056,0.880598046141172,0.8014338868241911,0.8371004820818067
3,LCX,549273,155156,289315,0.7119467899575914,0.7797421741580659,0.6549974480913076,0.7089389523743589
