case_id,territory,pred_fg_px,leaked_px,territory_leakage_rate,n_components,mean_purity,area_weighted_purity,n_mixed_components,mixed_px_fraction,gt_components,pred_components,pred_noise_islands,component_ratio,branch_n_endpoints,branch_n_paths,branch_n_inconsistent_paths,branch_inconsistent_path_rate,branch_skipped
test_269,RCA,3954,0,0.0,10,1.0,1.0,0,0.0,1,10,4,10.0,0,0,0,,False
test_27,LAD_LCX,5872,0,0.0,7,1.0,1.0,0,0.0,1,7,2,7.0,15,0,0,,False
test_270,RCA,9054,0,0.0,8,1.0,1.0,0,0.0,1,8,2,8.0,0,0,0,,False
test_271,RCA,5734,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_272,LAD_LCX,1390,0,0.0,9,1.0,1.0,0,0.0,1,9,3,9.0,14,0,0,,False
test_273,LAD_LCX,10156,0,0.0,9,1.0,1.0,0,0.0,2,9,0,4.5,30,0,0,,False
test_274,RCA,7019,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_275,RCA,6061,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_276,LAD_LCX,5590,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,14,0,0,,False
test_277,LAD_LCX,9852,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,18,0,0,,False
test_278,LAD_LCX,6392,0,0.0,2,1.0,1.0,0,0.0,2,2,0,1.0,6,0,0,,False
test_279,LAD_LCX,7463,0,0.0,9,1.0,1.0,0,0.0,2,9,2,4.5,29,0,0,,False
test_28,LAD_LCX,9553,9534,0.9980110959907882,4,0.9472222222222222,0.9980110959907882,1,0.009421124254160997,2,4,2,2.0,2,0,0,,False
test_280,RCA,6116,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_281,LAD_LCX,2999,0,0.0,13,1.0,1.0,0,0.0,1,13,2,13.0,27,0,0,,False
test_282,LAD_LCX,5976,0,0.0,9,1.0,1.0,0,0.0,1,9,1,9.0,17,0,0,,False
test_283,RCA,14526,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_284,RCA,7195,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_285,LAD_LCX,15093,133,0.008812032067846021,9,0.9940794159544161,0.991187967932154,1,0.165374677002584,1,9,4,9.0,32,0,0,,False
test_286,LAD_LCX,4406,0,0.0,9,0.9448219908746225,0.9838856105310939,2,0.17385383567862006,1,9,3,9.0,18,2,1,0.5,False
test_287,RCA,5035,0,0.0,4,1.0,1.0,0,0.0,1,4,1,4.0,0,0,0,,False
test_288,LAD_LCX,5385,0,0.0,3,1.0,1.0,0,0.0,2,3,0,1.5,12,0,0,,False
test_289,LAD_LCX,7552,0,0.0,9,0.9445117029862793,0.8907574152542372,1,0.21875,1,9,1,9.0,23,6,0,0.0,False
test_29,RCA,6368,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,0,0,0,,False
test_290,RCA,7182,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,0,0,0,,False
test_291,LAD_LCX,8857,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,6,0,0,,False
test_292,RCA,10320,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_293,LAD_LCX,6681,0,0.0,11,1.0,1.0,0,0.0,1,11,1,11.0,24,0,0,,False
test_294,RCA,8326,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_295,LAD_LCX,10658,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,4,0,0,,False
test_296,LAD_LCX,6063,0,0.0,8,1.0,1.0,0,0.0,2,8,4,4.0,16,0,0,,False
test_297,RCA,13689,0,0.0,3,1.0,1.0,0,0.0,1,3,1,3.0,0,0,0,,False
test_298,LAD_LCX,4080,0,0.0,11,0.9999062309531623,0.9995098039215686,1,0.47524509803921566,2,11,5,5.5,17,0,0,,False
test_299,LAD_LCX,6148,0,0.0,1,1.0,1.0,0,0.0,1,1,0,1.0,5,0,0,,False
test_3,LAD_LCX,9978,0,0.0,4,0.9686473727422004,0.8775305672479454,1,0.9765484064942874,2,4,0,2.0,19,22,0,0.0,False
test_30,RCA,11171,237,0.02121564765911736,15,1.0,1.0,0,0.0,1,15,6,15.0,20,0,0,,False
test_300,RCA,5749,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,0,0,0,,False
test_31,LAD_LCX,7966,0,0.0,9,0.9852105754582534,0.9964850615114236,2,0.19256841576700978,2,9,3,4.5,16,1,0,0.0,False
test_32,LAD_LCX,10443,0,0.0,16,1.0,1.0,0,0.0,1,16,6,16.0,31,0,0,,False
test_33,LAD_LCX,3716,0,0.0,3,1.0,1.0,0,0.0,1,3,0,3.0,10,0,0,,False
test_34,RCA,5103,155,0.030374289633548893,7,0.9991876523151909,0.9945130315500685,1,0.9649225945522242,1,7,1,7.0,12,0,0,,False
test_35,LAD_LCX,8288,0,0.0,2,1.0,1.0,0,0.0,1,2,0,2.0,4,0,0,,False
test_36,RCA,6510,0,0.0,6,1.0,1.0,0,0.0,1,6,1,6.0,0,0,0,,False
test_37,LAD_LCX,6246,0,0.0,8,1.0,1.0,0,0.0,1,8,3,8.0,19,0,0,,False
test_38,LAD_LCX,6443,0,0.0,8,1.0,1.0,0,0.0,2,8,4,4.0,13,0,0,,False
test_39,RCA,8182,0,0.0,1,1.0,1.0,0,0.0,2,1,0,0.5,0,0,0,,False
test_4,LAD_LCX,7489,0,0.0,7,0.9481870956139546,0.7742021631726532,2,0.9764988650020029,3,7,4,2.3333333333333335,16,24,14,0.5833333333333334,False
