class_id,class_name,tp,fp,fn,dice_f1,precision,recall_sensitivity,cldice
0,Background,75621381,727413,432999,0.9923859066084805,0.9904725017660395,0.9943067184296287,
1,LAD,547464,210451,280380,0.6904756649654791,0.7223290210643578,0.6613130010001804,0.7164837970091744
2,RCA,729262,96502,193126,0.8343233311519774,0.8831361018402245,0.7906239023057456,0.8350714345629472
3,LCX,546896,163831,291692,0.7059842575589812,0.7694881438301799,0.6521629214822934,0.7113553622131525
