config_name,stage,params,dice,cldice,n_components,dice_vs_original,beats_original,epochs,converged_flag
nnUNetTrainerENet_Original,stage1,369497,0.7800019869577919,0.7859552680941504,4.006666666666667,0.0,False,148,False
nnUNetTrainerENet_upscale_UC05,upscale_graduate,371198,0.7784148479115554,0.7827218054901007,3.773333333333333,-0.0015871390462365298,False,145,False
nnUNetTrainerENet_upscale_BD15,upscale_graduate,388953,0.7776646585208923,0.7832392717043071,3.4033333333333333,-0.0023373284368995995,False,148,False
nnUNetTrainerENet_E1,stage1,466294,0.7745741007385877,0.7781628972430422,4.293333333333333,-0.005427886219204203,False,130,True
nnUNetTrainerENet_upscale_MU15,upscale_graduate,1114694,0.771600272675676,0.7749196149853836,4.02,-0.00840171428211589,False,148,False
